iteration,day,l1_eta,l2_eta,linf_eta,mean_error_eta,mean_abs_error_eta,rmse_eta,max_abs_error_eta,min_error_eta,max_error_eta,eta_min,eta_max,reference_min_eta,reference_max_eta,l1_u,l2_u,linf_u,mean_error_u,mean_abs_error_u,rmse_u,max_abs_error_u,min_error_u,max_error_u,u_min,u_max,reference_min_u,reference_max_u,l1_v,l2_v,linf_v,mean_error_v,mean_abs_error_v,rmse_v,max_abs_error_v,min_error_v,max_error_v,v_min,v_max,reference_min_v,reference_max_v
0.0,0.0,2.0928177418926624e-08,2.3882035055055172e-08,3.197214971387778e-08,4.763685250269405e-07,1.3285264106784298e-05,2.0339785476210407e-05,6.088763711886713e-05,-6.0006100284226704e-05,6.088763711886713e-05,-1904.3961181640625,-0.009064282290637493,-1904.3960967203384,-0.009064282281087799,2.2893178809453082e-08,2.737245191557318e-08,4.9190942483843737e-08,-3.003897211307706e-08,6.942056151015415e-07,8.628998324376942e-07,1.8992257722061368e-06,-1.8992257722061368e-06,1.820809657715472e-06,0.08423246443271637,38.609256744384766,0.08423246709807256,38.60925764595623,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1440.0,1.0,3.596326161771895e-07,2.963415623607377e-07,2.2367087742813725e-07,4.763684590591431e-07,0.0002282957656411533,0.0002523873611359837,0.0004259579459241578,-0.0002678025261957373,0.0004259579459241578,-1904.3962856370085,-0.008638324335163641,-1904.3960967203384,-0.009064282281087799,4.754699652261588e-07,5.284917315353478e-07,6.638469821659665e-07,-1.4384265380494845e-05,1.4418002952732783e-05,1.6660379128371157e-05,2.563063917193631e-05,-2.563063917193631e-05,1.7350327183862646e-06,0.08423234187025877,38.609256743703604,0.08423246709807256,38.60925764595623,3.512188008427134e-06,3.95044822347775e-06,6.384161613623429e-06,2.378055665757862e-09,3.512188008427134e-06,3.95044822347775e-06,6.384161613623429e-06,-6.384161613623429e-06,6.384160486885837e-06,-6.384161613623429e-06,6.384160486885837e-06,0.0,0.0
2880.0,2.0,1.0713300882555943e-07,9.132229951989142e-08,8.704500573148247e-08,4.763684081265881e-07,6.800832620593335e-05,7.777712314494102e-05,0.0001657681691540347,-0.0001657681691540347,0.00010314219809970382,-1904.3962624849435,-0.009146834063649972,-1904.3960967203384,-0.009064282281087799,1.2633685000681585e-07,1.6399103121927243e-07,2.797878505070088e-07,-2.9862349020987938e-06,3.8309992421305005e-06,5.169717122779414e-06,1.0802401206433387e-05,-1.0802401206433387e-05,3.0376391464415065e-06,0.08423235867959919,38.60925674451722,0.08423246709807256,38.60925764595623,3.549838711167869e-06,4.103576436112671e-06,6.12843170402777e-06,4.578942570556576e-09,3.549838711167869e-06,4.103576436112671e-06,6.12843170402777e-06,-6.12843170402777e-06,6.12842473349251e-06,-6.12843170402777e-06,6.12842473349251e-06,0.0,0.0
4320.0,3.0,3.26111492206737e-07,2.6959925451760137e-07,2.082782967814899e-07,4.763684339584303e-07,0.00020701646471641183,0.00022961154645292827,0.0003966443754222296,-0.00023200745818030555,0.0003966443754222296,-1904.3962879589722,-0.00866763790566557,-1904.3960967203384,-0.009064282281087799,4.366406190548823e-07,4.828946349869473e-07,6.007335067594888e-07,-1.3203637146310482e-05,1.3240553968160524e-05,1.5222958502238831e-05,2.319387473903589e-05,-2.319387473903589e-05,1.7354578289996425e-06,0.08423233977514633,38.60925674375085,0.08423246709807256,38.60925764595623,5.826956357724419e-06,6.561912336639575e-06,9.551358044784797e-06,-1.292774529779957e-08,5.826956357724419e-06,6.561912336639575e-06,9.551358044784797e-06,-9.551358044784797e-06,9.551357783882386e-06,-9.551358044784797e-06,9.551357783882386e-06,0.0,0.0
5760.0,4.0,6.26310055258656e-08,5.3323661998136984e-08,4.632422579954244e-08,4.7636845952936816e-07,3.975833313282695e-05,4.541454877474863e-05,8.821967479624021e-05,-6.018736939950031e-05,8.821967479624021e-05,-1904.3961569077078,-0.008976062606291559,-1904.3960967203384,-0.009064282281087799,8.96949998682528e-08,9.677250580613233e-08,1.3903249515166204e-07,-2.6193417828529023e-06,2.7198832050952154e-06,3.0506941541900514e-06,5.367941426470679e-06,-5.367941426470679e-06,1.7399022880226767e-06,0.08423243616060587,38.609256744244554,0.08423246709807256,38.60925764595623,6.582664863368308e-06,7.243047082376818e-06,1.0271901856900856e-05,1.0001561883718846e-08,6.582664863368308e-06,7.243047082376818e-06,1.0271901856900856e-05,-1.0271901856900856e-05,1.0271900115876864e-05,-1.0271901856900856e-05,1.0271900115876864e-05,0.0,0.0
7200.0,5.0,2.7065457826696503e-07,2.2305615006205885e-07,1.656823901102147e-07,4.763683790309888e-07,0.0001718122644896505,0.00018997184414781828,0.0003155248970211893,-0.00020045148539793445,0.0003155248970211893,-1904.3962744464397,-0.00874875738406661,-1904.3960967203384,-0.009064282281087799,3.7846597902797273e-07,4.200988477532471e-07,5.288491610451096e-07,-1.143047220433887e-05,1.1476484325437269e-05,1.3243359654138402e-05,2.0418473514638436e-05,-2.0418473514638436e-05,1.7366170936838898e-06,0.08423235007219405,38.60925674387947,0.08423246709807256,38.60925764595623,7.332891377550625e-06,8.808450239102243e-06,1.3998183661489971e-05,-5.732859771619136e-09,7.332891377550625e-06,8.808450239102243e-06,1.3998183661489971e-05,-1.3998183661489971e-05,1.3998183307453727e-05,-1.3998183661489971e-05,1.3998183307453727e-05,0.0,0.0
8640.0,6.0,1.221062002702941e-07,1.0304891705794968e-07,9.134410117563035e-08,4.76368418664162e-07,7.751334897417714e-05,8.776441629377945e-05,0.0001739553497372981,-0.0001739553497372981,8.255779886212622e-05,-1904.3962706756881,-0.009006530231300736,-1904.3960967203384,-0.009064282281087799,2.163152796239643e-07,2.569843830976792e-07,3.7195678547481336e-07,-6.448082247563837e-06,6.559477082545164e-06,8.101275757029605e-06,1.4360975363558737e-05,-1.4360975363558737e-05,1.7403427179374376e-06,0.08423235279564022,38.609256744293546,0.08423246709807256,38.60925764595623,8.188409218219766e-06,9.126332134636675e-06,1.3279873708221812e-05,1.1626805366574615e-08,8.188409218219766e-06,9.126332134636675e-06,1.3279873708221812e-05,-1.3279872785598723e-05,1.3279873708221812e-05,-1.3279872785598723e-05,1.3279873708221812e-05,0.0,0.0
10080.0,7.0,2.105154994829746e-07,1.7289961885656676e-07,1.2515351336116597e-07,4.7636843590914657e-07,0.00013363581324925389,0.0001472546685554217,0.00023834186233584118,-0.0001604015581051499,0.00023834186233584118,-1904.396230336048,-0.008825940418751958,-1904.3960967203384,-0.009064282281087799,2.9764326205170653e-07,3.3114750968301085e-07,4.2481233645133463e-07,-8.969647759783024e-06,9.025641459984321e-06,1.0439223037051272e-05,1.640168894923022e-05,-1.640168894923022e-05,1.7377314378563824e-06,0.08423238201772251,38.60925674400338,0.08423246709807256,38.60925764595623,8.99702472831707e-06,9.828006669754878e-06,1.3540473922712959e-05,-1.659463649206636e-08,8.99702472831707e-06,9.828006669754878e-06,1.3540473922712959e-05,-1.354047315993423e-05,1.3540473922712959e-05,-1.354047315993423e-05,1.3540473922712959e-05,0.0,0.0
11520.0,8.0,1.8549073440750336e-07,1.5386769362819853e-07,1.2207632683562154e-07,4.763684931523521e-07,0.00011775002412472158,0.00013104561118439388,0.00023248168032771396,-0.00013198318583818036,0.00023248168032771396,-1904.3961836525255,-0.008831800600760085,-1904.3960967203384,-0.009064282281087799,2.3616788364448238e-07,2.602049227940135e-07,3.4240266899099015e-07,-7.104007126800425e-06,7.161481255934152e-06,8.202801304426574e-06,1.3219912865736205e-05,-1.3219912865736205e-05,1.7378289385305834e-06,0.08423241654239286,38.60925674401413,0.08423246709807256,38.60925764595623,8.547365088745127e-06,9.50787529505973e-06,1.3618040739737935e-05,1.2704172086968457e-08,8.547365088745127e-06,9.50787529505973e-06,1.3618040739737935e-05,-1.3618040739737935e-05,1.3618039901630574e-05,-1.3618040739737935e-05,1.3618039901630574e-05,0.0,0.0
12960.0,9.0,1.447729467105109e-07,1.1993246498514403e-07,7.758330911240004e-08,4.763684793695633e-07,9.190226143759401e-05,0.00010214374963471096,0.0001477493510443021,-0.0001449399001103302,0.0001477493510443021,-1904.396241175239,-0.008916532930043497,-1904.3960967203384,-0.009064282281087799,2.333305599140731e-07,2.6222212439859963e-07,3.454158905950728e-07,-6.999555803095414e-06,7.075443135937568e-06,8.266392353264992e-06,1.3336251114992592e-05,-1.3336251114992592e-05,1.7390297273323085e-06,0.08423237433896102,38.609256744147636,0.08423246709807256,38.60925764595623,7.865567626615726e-06,9.441254850873391e-06,1.4848845194384563e-05,-8.286962748295355e-09,7.865567626615726e-06,9.441254850873391e-06,1.4848845194384563e-05,-1.4848845194384563e-05,1.4848844801088057e-05,-1.4848845194384563e-05,1.4848844801088057e-05,0.0,0.0
