iteration,day,l1_tracer,l2_tracer,linf_tracer,mean_error_tracer,mean_abs_error_tracer,rmse_tracer,max_abs_error_tracer,min_error_tracer,max_error_tracer,tracer_min,tracer_max,reference_min_tracer,reference_max_tracer,relative_mass_error_tracer,normalized_l1,normalized_l2,normalized_linf,mean_error,mean_abs_error,rmse,max_abs_error,min_error,max_error,relative_mass_error
0.0,0.0,2.0563125513032858e-08,2.3439537003246202e-08,3.0467749550040916e-08,-2.9999825806448346e-09,1.6911920868242134e-07,1.6196184097178036e-06,3.0461309393103875e-05,-3.041163461148244e-05,3.0461309393103875e-05,0.0,999.7886352539062,0.0,999.788623806085,-3.64766591220586e-10,2.0563125513032858e-08,2.3439537003246202e-08,3.0467749550040916e-08,-2.9999825806448346e-09,1.6911920868242134e-07,1.6196184097178036e-06,3.0461309393103875e-05,-3.041163461148244e-05,3.0461309393103875e-05,-3.64766591220586e-10
1440.0,1.0,5.597410659503563e-05,0.00010684935744008105,0.0004358353792799631,-2.9999885171901453e-09,0.0004603530046080892,0.0073830462757223615,0.43574325405631953,-0.43574325405631953,0.15283968328640185,-2.0827187702553686e-07,999.3643418798758,0.0,999.7886238060898,-3.647669487916552e-10,5.597410659503563e-05,0.00010684935744008105,0.0004358353792799631,-2.9999885171901453e-09,0.0004603530046080892,0.0073830462757223615,0.43574325405631953,-0.43574325405631953,0.15283968328640185,-3.647669487916552e-10
2880.0,2.0,8.70882563503186e-05,0.00014201513435211437,0.0005556214710810928,-2.9999887528656056e-09,0.0007162479745680192,0.009812921049736483,0.5555040259292809,-0.5555040259292809,0.1720258203143885,-3.494429797176803e-07,999.2437009706879,0.0,999.7886238060898,-3.647671871723681e-10,8.70882563503186e-05,0.00014201513435211437,0.0005556214710810928,-2.9999887528656056e-09,0.0007162479745680192,0.009812921049736483,0.5555040259292809,-0.5555040259292809,0.1720258203143885,-3.647671871723681e-10
4320.0,3.0,0.00011592378738092928,0.00017101228922976344,0.0006443601347340103,-2.999980911732299e-09,0.000953402690505704,0.011816558146440843,0.6442239323412196,-0.6442239323412196,0.17863824209143786,-4.334690045888022e-07,999.1544470678889,0.0,999.788623806085,-3.6476635283987317e-10,0.00011592378738092928,0.00017101228922976344,0.0006443601347340103,-2.999980911732299e-09,0.000953402690505704,0.011816558146440843,0.6442239323412196,-0.6442239323412196,0.17863824209143786,-3.6476635283987317e-10
5760.0,4.0,0.00014207337565379688,0.0001968812991640468,0.0007165449708219935,-2.9999524479422717e-09,0.0011684671598284977,0.013604047580423032,0.7163935102732921,-0.7163935102732921,0.18212130088090817,-4.772001771100521e-07,999.0819622891069,0.0,999.788623806085,-3.6476277712918037e-10,0.00014207337565379688,0.0001968812991640468,0.0007165449708219935,-2.9999524479422717e-09,0.0011684671598284977,0.013604047580423032,0.7163935102732921,-0.7163935102732921,0.18212130088090817,-3.6476277712918037e-10
7200.0,5.0,0.0001668504259497451,0.0002210013230801671,0.000778664318513172,-2.999986821595725e-09,0.0013722433385460588,0.015270686079808625,0.7784997274131911,-0.7784997274131911,0.17785706723361727,-5.362274954002891e-07,999.0196454298047,0.0,999.7886238060898,-3.647670679820116e-10,0.0001668504259497451,0.0002210013230801671,0.000778664318513172,-2.999986821595725e-09,0.0013722433385460588,0.015270686079808625,0.7784997274131911,-0.7784997274131911,0.17785706723361727,-3.647670679820116e-10
8640.0,6.0,0.00019120525876068533,0.0002440481063748731,0.0008339755782124051,-2.999983714774335e-09,0.0015725470350813125,0.01686316610634298,0.8337992956288645,-0.8337992956288645,0.17880017712309382,-6.127882404931578e-07,998.9641933508141,0.0,999.788623806085,-3.64766591220586e-10,0.00019120525876068533,0.0002440481063748731,0.0008339755782124051,-2.999983714774335e-09,0.0015725470350813125,0.01686316610634298,0.8337992956288645,-0.8337992956288645,0.17880017712309382,-3.64766591220586e-10
10080.0,7.0,0.00021511921308280636,0.0002663943670248658,0.0008843467045633965,-2.9999864298476777e-09,0.0017692247740204354,0.018407241619953517,0.8841597747228889,-0.8841597747228889,0.18092640084595413,-5.802887829185017e-07,998.9137162674145,0.0,999.7886238060898,-3.647670679820117e-10,0.00021511921308280636,0.0002663943670248658,0.0008843467045633965,-2.9999864298476777e-09,0.0017692247740204354,0.018407241619953517,0.8841597747228889,-0.8841597747228889,0.18092640084595413,-3.647670679820117e-10
11520.0,8.0,0.00023824553470997686,0.0002882632709135423,0.0009309525133219522,-2.9999743831138164e-09,0.001959424712781852,0.019918332872888418,0.9307557321229751,-0.9307557321229751,0.2017425776704238,-5.795849501046332e-07,998.8670275960994,0.0,999.7886238060898,-3.6476551850737825e-10,0.00023824553470997686,0.0002882632709135423,0.0009309525133219522,-2.9999743831138164e-09,0.001959424712781852,0.019918332872888418,0.9307557321229751,-0.9307557321229751,0.2017425776704238,-3.6476551850737825e-10
12960.0,9.0,0.0002610201281662544,0.00030979439999281525,0.0009745826596041696,-2.9999828286327037e-09,0.0021467319011248113,0.021406084658854654,0.9743766560309268,-0.9743766560309268,0.22190059722794198,-6.217048780037222e-07,998.8233307503253,0.0,999.788623806085,-3.647664720302295e-10,0.0002610201281662544,0.00030979439999281525,0.0009745826596041696,-2.9999828286327037e-09,0.0021467319011248113,0.021406084658854654,0.9743766560309268,-0.9743766560309268,0.22190059722794198,-3.647664720302295e-10
14400.0,10.0,0.0002836523317606062,0.0003310810555603194,0.0010157950731853201,-2.999985533057579e-09,0.00233286801940072,0.022876943884174553,1.0155803582889575,-1.0155803582889575,0.24142180941649372,-6.998849053155287e-07,998.7820634357505,0.0,999.7886238060898,-3.6476659122058593e-10,0.0002836523317606062,0.0003310810555603194,0.0010157950731853201,-2.999985533057579e-09,0.00233286801940072,0.022876943884174553,1.0155803582889575,-1.0155803582889575,0.24142180941649372,-3.6476659122058593e-10
