iteration,day,eta_finite_fraction,u_finite_fraction,v_finite_fraction,scalar_finite_fraction,minimum_state_finite_fraction,volume_m3,volume_rel_change,mass_kg,mass_rel_change,eta_volume_anomaly_m3,eta_volume_anomaly_delta_m3,tracer_area_integral,tracer_area_rel_change,tracer_mass_integral,tracer_mass_rel_change,kinetic_energy_j,kinetic_energy_rel_change,surface_potential_energy_j,surface_potential_energy_rel_change,potential_energy_anomaly_j,mechanical_energy_j,mechanical_energy_rel_change,mechanical_energy_anomaly_j,mechanical_energy_anomaly_rel_change,zeta_mean_s-1,zeta_rms_s-1,zeta_min_s-1,zeta_max_s-1,pv_mean_s-1_m-1,pv_rms_s-1_m-1,pv_min_s-1_m-1,pv_max_s-1_m-1,potential_enstrophy,potential_enstrophy_rel_change
0,0.0,1.0,1.0,1.0,nan,1.0,4.856983888592418e+18,0.0,4.856983888592418e+18,0.0,7.764681133141093e+17,0.0,nan,nan,nan,nan,7.606251244490875e+21,0.0,7.32199555818899e+21,0.0,6.825921309108026e+22,1.4928246802679866e+22,0.0,7.586546433557114e+22,0.0,1.1295423607221922e-21,3.325440667267551e-05,-7.457847186602794e-05,7.451499619668912e-05,5.597025967098398e-14,1.1249692028050468e-08,-2.019346535977611e-08,2.019346535977611e-08,282.40578284649257,0.0
2880,1.0,1.0,1.0,1.0,nan,1.0,4.856983888592415e+18,-6.324912889283402e-16,4.856983888592415e+18,-6.324912889283402e-16,7.764681133141089e+17,-384.0,nan,nan,nan,nan,7.612336264719676e+21,0.0008000025286054438,7.315546491846197e+21,-0.0008807798764068696,6.825276402473749e+22,1.4927882756565873e+22,-2.438639438403385e-05,7.586510028945717e+22,-4.798574913599838e-06,-6.461053056641067e-19,3.318901702954873e-05,-7.793251362295905e-05,7.786183863198546e-05,4.7514363854355073e-14,1.1247543056567075e-08,-2.0193071367818727e-08,2.0197619866890752e-08,282.3934617122386,-4.362918538627659e-05
5760,2.0,1.0,1.0,1.0,nan,1.0,4.856983888592419e+18,2.1083042964278005e-16,4.856983888592419e+18,2.1083042964278005e-16,7.764681133141085e+17,-768.0,nan,nan,nan,nan,7.670291936274811e+21,0.008419481519272642,7.263002426591635e+21,-0.008056974513099379,6.820021995948291e+22,1.4933294362866445e+22,0.0003381214320273557,7.587051189575773e+22,6.653304281196686e-05,1.3864181872907867e-18,3.3155096721722926e-05,-8.109979806480843e-05,8.10598886079324e-05,4.421734598763243e-14,1.1239039740911301e-08,-2.0193352084147695e-08,2.0197334538875617e-08,282.42880940892616,8.153714913869966e-05
8640,3.0,1.0,1.0,1.0,nan,1.0,4.856983888592416e+18,-4.216608592855601e-16,4.856983888592416e+18,-4.216608592855601e-16,7.764681133141096e+17,256.0,nan,nan,nan,nan,7.743770675326608e+21,0.01807979074256015,7.194985334627581e+21,-0.017346394511173917,6.813220286751889e+22,1.493875600995419e+22,0.0007039813457824711,7.58759735428455e+22,0.00013852425957445216,-5.521522133815105e-19,3.318725416567148e-05,-8.730093607501701e-05,8.73145677757264e-05,4.720577792147115e-14,1.1227723303327935e-08,-2.019502793214862e-08,2.0195720393360123e-08,282.4864416134821,0.0002856130146363648
11520,4.0,1.0,1.0,1.0,nan,1.0,4.856983888592415e+18,-6.324912889283402e-16,4.856983888592415e+18,-6.324912889283402e-16,7.764681133141094e+17,128.0,nan,nan,nan,nan,7.785778281289632e+21,0.02360256465743045,7.156759377812168e+21,-0.02256709650581811,6.8093976910703454e+22,1.49425376591018e+22,0.0009573030651776732,7.587975519199308e+22,0.0001883710400654867,2.810818577350202e-18,3.312577737369719e-05,-9.458515811459781e-05,9.489119042952084e-05,4.228698983667303e-14,1.1220269957058181e-08,-2.0197101762272774e-08,2.0203046616588972e-08,282.5106537634464,0.0003713483339355659
14400,5.0,1.0,1.0,1.0,nan,1.0,4.856983888592419e+18,2.1083042964278005e-16,4.856983888592419e+18,2.1083042964278005e-16,7.764681133141089e+17,-384.0,nan,nan,nan,nan,7.816431206617437e+21,0.027632529530074685,7.128689499298928e+21,-0.026400734247081926,6.806590703219026e+22,1.4945120705916365e+22,0.0011303338871293642,7.588233823880769e+22,0.00022241876965142855,-1.8225546003998906e-18,3.3107578857889925e-05,-0.00010134792958080639,0.00010175550087354214,4.3141202138391514e-14,1.1214873600467538e-08,-2.020068933977975e-08,2.0203748874761867e-08,282.5282046643691,0.0004334961438912945
17280,6.0,1.0,1.0,1.0,nan,1.0,4.856983888592417e+18,-2.1083042964278005e-16,4.856983888592417e+18,-2.1083042964278005e-16,7.764681133141093e+17,0.0,nan,nan,nan,nan,7.838859234696122e+21,0.03058116051237747,7.107698918790147e+21,-0.029267518355589727,6.804491645168147e+22,1.494655815348627e+22,0.001226624334956495,7.588377568637759e+22,0.00024136609413545873,-1.3625262779976811e-18,3.314261754161303e-05,-0.00010506848259668174,0.0001054914044630212,4.989065223969161e-14,1.1210928459587743e-08,-2.0203381964885027e-08,2.020812514023302e-08,282.53838536912735,0.0004695460599220895
20160,7.0,1.0,1.0,1.0,nan,1.0,4.856983888592416e+18,-4.216608592855601e-16,4.856983888592416e+18,-4.216608592855601e-16,7.764681133141093e+17,0.0,nan,nan,nan,nan,7.832640449006983e+21,0.029763571730565593,7.113068973191456e+21,-0.028534104307652713,6.805028650608275e+22,1.494570942219844e+22,0.0011697702851106836,7.588292695508974e+22,0.00023017877332641619,-1.3925164379143746e-20,3.311460172458267e-05,-0.00010663846947100265,0.00010704959338896717,4.877230526194837e-14,1.1210304871928761e-08,-2.0205326007613198e-08,2.0211254907894845e-08,282.5056391172445,0.0003535914517948654
23040,8.0,1.0,1.0,1.0,nan,1.0,4.856983888592415e+18,-6.324912889283402e-16,4.856983888592415e+18,-6.324912889283402e-16,7.76468113314109e+17,-256.0,nan,nan,nan,nan,7.820406485438909e+21,0.028155162650345556,7.123876467628703e+21,-0.027058073032932815,6.8061094000520015e+22,1.4944282953067612e+22,0.0010742152511082404,7.588150048595893e+22,0.00021137615815358145,-1.4704464160542873e-18,3.3085570935887305e-05,-0.00010420886858513738,0.00010452675200859151,4.6303301445959e-14,1.1210964226375493e-08,-2.020597102647907e-08,2.0226964293988865e-08,282.4698198369688,0.00022675523790891932
25920,9.0,1.0,1.0,1.0,nan,1.0,4.856983888592416e+18,-4.216608592855601e-16,4.856983888592416e+18,-4.216608592855601e-16,7.764681133141089e+17,-384.0,nan,nan,nan,nan,7.818937867101098e+21,0.02796208221024372,7.124752502341353e+21,-0.02693842877670671,6.806197003523263e+22,1.4943690369442452e+22,0.0010345197910188733,7.588090790233372e+22,0.0002035651781458285,2.7720644787917242e-18,3.3108037909223546e-05,-0.00010001512226418968,0.00010023963514319791,4.876675094408351e-14,1.1211355103655008e-08,-2.04596236809574e-08,2.055331954810048e-08,282.45664738891463,0.00018011154697108377
