iteration,day,volume_m3,mass_kg,conserved_scalar_integral,conserved_scalar_rel_change,kinetic_energy_j,potential_energy_j,mechanical_energy_j,ke_area_mean_j_m-2,zeta_mean_s-1,zeta_rms_s-1,zeta_min_s-1,zeta_max_s-1,pv_mean_s-1_m-1,pv_rms_s-1_m-1,pv_min_s-1_m-1,pv_max_s-1_m-1
0,0.0,1.2048432687628593e+18,1.2048432687628593e+18,nan,nan,6.630347414159491e+20,1.814738907553391e+21,2.47777364896934e+21,1299903.7924233545,1.4938077896396745e-22,7.004151730824273e-06,-0.00015093926610094076,0.0001509392661009408,-4.084184900412617e-24,5.478310516938661e-08,-2.7036000711194135e-07,2.7036000711194135e-07
8640,1.0,1.204843268762859e+18,1.204843268762859e+18,nan,nan,6.642816440517502e+20,1.8128705282361873e+21,2.4771521722879375e+21,1302348.3905172627,1.5035009844738408e-11,7.228456436782222e-06,-0.004598678831118647,0.0033806260017578294,9.330615466357488e-15,5.478292502183592e-08,-4.063305647275134e-06,3.218001395355733e-06
17280,2.0,1.20484326876286e+18,1.20484326876286e+18,nan,nan,6.652543767511199e+20,1.8116574487920388e+21,2.4769118255431586e+21,1304255.4684514063,9.285016030475175e-12,8.242228928578366e-06,-0.0148344399201268,0.012218318048857162,9.911827846108785e-15,5.489832482315518e-08,-1.340965512704802e-05,1.1287617889531607e-05
25920,3.0,1.2048432687628598e+18,1.2048432687628598e+18,nan,nan,6.635574709212212e+20,1.8140021756445217e+21,2.4775596465657427e+21,1300928.6226831742,1.6798496530520603e-11,7.904913984520305e-06,-0.01556771208719478,0.010987238092854876,1.6100429963010603e-14,5.488430860814209e-08,-1.408271490291116e-05,1.0166412626584148e-05
34560,4.0,1.20484326876286e+18,1.20484326876286e+18,nan,nan,6.658560906075784e+20,1.8109931047011882e+21,2.4768491953087667e+21,1305435.1504124054,8.391558549698382e-12,8.290236398921887e-06,-0.016746656398608315,0.01662637490682494,2.6702068212364247e-16,5.490310507757418e-08,-1.5153272094116639e-05,1.530968790787277e-05
43200,5.0,1.2048432687628595e+18,1.2048432687628595e+18,nan,nan,6.638586603664499e+20,1.8136317315458282e+21,2.477490391912278e+21,1301519.1155753785,8.637718565286109e-12,8.014674708503445e-06,-0.012248473421088221,0.010987773087361132,8.904699319256734e-15,5.489442644948249e-08,-1.1045592623913516e-05,1.0161011776078649e-05
51840,6.0,1.2048432687628598e+18,1.2048432687628598e+18,nan,nan,6.651464472969751e+20,1.8117829564081166e+21,2.476929403705092e+21,1304043.8688202053,2.2863439027311557e-12,8.210714718816163e-06,-0.015421325625073824,0.012624594542313412,2.8893488020030493e-15,5.4894941425935514e-08,-1.3943435020970415e-05,1.1656827746407134e-05
60480,7.0,1.2048432687628595e+18,1.2048432687628595e+18,nan,nan,6.646545743730404e+20,1.81235257247377e+21,2.4770071468468103e+21,1303079.534013484,-2.6465258963808014e-12,8.040686409736258e-06,-0.009494404616774546,0.005386885778351292,-6.051596846676919e-15,5.487576631578597e-08,-8.538069957512658e-06,5.053066186658196e-06
69120,8.0,1.20484326876286e+18,1.20484326876286e+18,nan,nan,6.625666080529373e+20,1.8152069747756808e+21,2.477773582828618e+21,1298985.9998916397,3.933806331293657e-11,8.059508230127056e-06,-0.010840789844082443,0.010510087143426062,3.706026645874622e-14,5.491015996787815e-08,-9.763417807459079e-06,9.727792519457234e-06
77760,9.0,1.2048432687628595e+18,1.2048432687628595e+18,nan,nan,6.648179757882558e+20,1.812056476683969e+21,2.476874452472225e+21,1303399.8884475098,4.430522005799027e-11,7.758998165874136e-06,-0.004854311699977566,0.006377317135346992,3.639620285908267e-14,5.4838917117269556e-08,-4.299214910094501e-06,5.956326587913761e-06
86400,10.0,1.2048432687628593e+18,1.2048432687628593e+18,nan,nan,6.64258985143597e+20,1.812854409428264e+21,2.477113394571861e+21,1302303.9669014239,2.8124785506119926e-12,7.571890341117537e-06,-0.006160555933406545,0.004714857348656676,2.5846954931825075e-15,5.482619042140233e-08,-5.488086226124796e-06,4.435136524049631e-06
95040,11.0,1.2048432687628598e+18,1.2048432687628598e+18,nan,nan,6.64086752263849e+20,1.8132460270321887e+21,2.4773327792960375e+21,1301966.298059085,4.330522384837955e-11,7.480292606520494e-06,-0.005803712842313405,0.0050939554628080886,3.882709950008536e-14,5.482513274279899e-08,-5.16013763615882e-06,4.778845631079341e-06
103680,12.0,1.20484326876286e+18,1.20484326876286e+18,nan,nan,6.652172371366225e+20,1.8116730592772458e+21,2.4768902964138685e+21,1304182.6548826464,1.9082355579062976e-11,7.473365112587708e-06,-0.004176811829377142,0.005455265535584375,1.047237417578401e-14,5.4805133315885254e-08,-3.6767540377494706e-06,5.1089130251806455e-06
