iteration,day,normalized_l1,normalized_l2,normalized_linf,mean_error,mean_abs_error,rmse,max_abs_error,min_error,max_error,relative_mass_error
0.0,0.0,2.0563125514170195e-08,2.3439537004853824e-08,3.0467749550040916e-08,-2.999982492855538e-09,1.6911920869177518e-07,1.6196184098288864e-06,3.0461309393103875e-05,-3.041163461148244e-05,3.0461309393103875e-05,-3.647664720302295e-10
1440.0,1.0,0.15985858508036735,0.14124664081320246,0.11775272245181917,-4.8835456342870955e-09,1.3147396971704737,9.759819903446834,117.72783232952474,-117.72783232952474,117.46605191704134,-5.937880006031656e-10
2880.0,2.0,0.2761358245248747,0.24343097605707106,0.2029044915190623,-1.0611387232548263e-08,2.2710493160641607,16.820523812522552,202.86160233991774,-202.86160233991774,202.43142184869322,-1.2902337017084147e-09
4320.0,3.0,0.31840399170464073,0.28038489772096276,0.2337531097617716,-6.43656548496217e-09,2.6186792997146355,19.373955300090728,233.70369991911434,-233.70369991911434,233.138645665953,-7.826190177368924e-10
5760.0,4.0,0.276078009116867,0.24337848518366684,0.20292795137848776,-1.0611574218714233e-08,2.270573819474604,16.816896813196713,202.8850572404864,-202.8850572404864,202.29271010722272,-1.2902562286857914e-09
7200.0,5.0,0.15975735302028823,0.14115577520801706,0.1178464554528824,-4.8942594759697736e-09,1.3139071250071108,9.753541297903213,117.82154551766297,-117.82154551766297,117.249223266591,-5.950907511993491e-10
8640.0,6.0,0.00025804067111048236,0.0002853983030337849,0.001100578861717566,-3.0019487892502556e-09,0.002122227677812257,0.019720370143476898,1.100346225546673,-1.100346225546673,0.36699535856109833,-3.650056870756585e-10
10080.0,7.0,0.15996988532008627,0.14134354674826233,0.11807129000892551,-4.883899143519615e-09,1.3156550739917425,9.766515881972884,118.04633254903337,-118.04633254903337,117.18584615736245,-5.938310283218491e-10
11520.0,8.0,0.27624904898795644,0.2435231642648991,0.20317369403334626,-1.0611382086140024e-08,2.2719805184530038,16.82689380688447,203.13074795119883,-203.13074795119883,202.19109069218672,-1.2902329865662778e-09
12960.0,9.0,0.3185171362549647,0.2804752603656346,0.23403429716189983,-6.437222754814243e-09,2.6196098448696223,19.38019915221294,233.98482788292017,-233.98482788292017,232.92249545380724,-7.826989944660815e-10
14400.0,10.0,0.2761898563472409,0.24347073139209618,0.20321414382539998,-1.061136934265296e-08,2.2714936949615443,16.823270815267623,203.17118919312946,-203.17118919312946,202.10752119346614,-1.2902315562819984e-09
15840.0,11.0,0.1598681496130574,0.1412528236323609,0.11814232255659432,-4.894570833668155e-09,1.3148183596383407,9.760247122112943,118.11735008211144,-118.11735008211144,117.12158901697012,-5.951285345423497e-10
17280.0,12.0,0.00034999864144516767,0.00039205780837063596,0.0014299276800729442,-3.00365656186845e-09,0.0028785260899960867,0.027090298072984804,1.4296254274023568,-1.4296254274023568,0.29006348274890525,-3.652131974862674e-10
