iteration,day,eta_finite_fraction,u_finite_fraction,v_finite_fraction,scalar_finite_fraction,minimum_state_finite_fraction,volume_m3,volume_rel_change,mass_kg,mass_rel_change,eta_volume_anomaly_m3,eta_volume_anomaly_delta_m3,tracer_area_integral,tracer_area_rel_change,tracer_mass_integral,tracer_mass_rel_change,kinetic_energy_j,kinetic_energy_rel_change,surface_potential_energy_j,surface_potential_energy_rel_change,potential_energy_anomaly_j,mechanical_energy_j,mechanical_energy_rel_change,mechanical_energy_anomaly_j,mechanical_energy_anomaly_rel_change,zeta_mean_s-1,zeta_rms_s-1,zeta_min_s-1,zeta_max_s-1,pv_mean_s-1_m-1,pv_rms_s-1_m-1,pv_min_s-1_m-1,pv_max_s-1_m-1,potential_enstrophy,potential_enstrophy_rel_change
0,0.0,1.0,1.0,1.0,nan,1.0,1.52863325111142e+18,0.0,1.52863325111142e+18,0.0,-333666982869.46094,0.0,nan,nan,nan,nan,4.6879022296863683e+20,0.0,9.351244302370294e+20,0.0,9.351146204277384e+20,1.4039146532056662e+21,0.0,1.403904843396375e+21,0.0,-2.9389487799423863e-22,7.812311886560634e-06,-1.3465559416603013e-05,1.9855224625948374e-05,8.053750375370711e-09,4.3224433692155454e-08,-4.4000665178344945e-08,1.5151313046123767e-07,896.71456354553,0.0
1440,1.0,1.0,1.0,1.0,nan,1.0,1.52863325111142e+18,0.0,1.52863325111142e+18,0.0,-333666982826.85156,42.609375,nan,nan,nan,nan,4.68790743459547e+20,1.1102853358560213e-06,9.35123614062362e+20,-8.727979304233227e-07,9.351138042530701e+20,1.403914357521909e+21,-2.1061376950779918e-07,1.4039045477126172e+21,-2.106152417353185e-07,6.999272117101562e-16,7.812334016648862e-06,-1.3465609402829518e-05,1.9855404210731918e-05,8.05374098691252e-09,4.3224414245630856e-08,-4.4000665587892806e-08,1.5151292838723712e-07,896.7143821284386,-2.0231308690752303e-07
2880,2.0,1.0,1.0,1.0,nan,1.0,1.5286332511114196e+18,-1.6746986225366397e-16,1.5286332511114196e+18,-1.6746986225366397e-16,-333666982864.28906,5.171875,nan,nan,nan,nan,4.6879274462427854e+20,5.379070462975727e-06,9.351211597268202e+20,-3.4974064449473316e-06,9.351113499175311e+20,1.4039139043510987e+21,-5.33404623843698e-07,1.4039040945418097e+21,-5.334083495239016e-07,6.353528071195086e-16,7.812364393791836e-06,-1.3465652039110233e-05,1.9855549011405238e-05,8.053722341428199e-09,4.322438119786819e-08,-4.400066853855215e-08,1.515126448746137e-07,896.7141083106334,-5.076697927852327e-07
4320,3.0,1.0,1.0,1.0,nan,1.0,1.5286332511114202e+18,1.6746986225366397e-16,1.5286332511114202e+18,1.6746986225366397e-16,-333666982875.08594,-5.625,nan,nan,nan,nan,4.6879416910134785e+20,8.417694136249948e-06,9.351196533059112e+20,-5.10833741873571e-06,9.351098434966196e+20,1.403913822407259e+21,-5.917727300888998e-07,1.4039040125979675e+21,-5.917768654845009e-07,6.66847162791677e-16,7.812390351657708e-06,-1.3465693559271699e-05,1.9855588475037982e-05,8.053711100660546e-09,4.322437931997692e-08,-4.400066414481458e-08,1.5151273451431412e-07,896.7140739179807,-5.460238622398025e-07
5760,4.0,1.0,1.0,1.0,nan,1.0,1.528633251111421e+18,6.698794490146559e-16,1.528633251111421e+18,6.698794490146559e-16,-333666982906.8125,-37.3515625,nan,nan,nan,nan,4.687958404749801e+20,1.1982985284298236e-05,9.351180440236594e+20,-6.82926588531024e-06,9.351082342143707e+20,1.4039138844986395e+21,-5.475454116759478e-07,1.4039040746893507e+21,-5.475492359784253e-07,4.481641789167622e-16,7.812404778275704e-06,-1.3465686177131227e-05,1.98555305945886e-05,8.053703006499097e-09,4.32243849848471e-08,-4.400066075067626e-08,1.5151270734880204e-07,896.7141235066507,-4.907234667774163e-07
7200,5.0,1.0,1.0,1.0,nan,1.0,1.5286332511114191e+18,-5.024095867609918e-16,1.5286332511114191e+18,-5.024095867609918e-16,-333666982796.7578,72.703125,nan,nan,nan,nan,4.6879664866775256e+20,1.3706981931145757e-05,9.351171038600659e+20,-7.834654647634822e-06,9.351072940507755e+20,1.4039137525278185e+21,-6.41547437152198e-07,1.4039039427185282e+21,-6.415519194157982e-07,4.995838509461582e-16,7.812421307776144e-06,-1.3465702884359163e-05,1.985553267817822e-05,8.05369527876809e-09,4.32243820572441e-08,-4.400066060256747e-08,1.5151275299925728e-07,896.7140846433217,-5.34063154316524e-07
