iteration,day,volume_m3,mass_kg,conserved_scalar_integral,conserved_scalar_rel_change,kinetic_energy_j,potential_energy_j,mechanical_energy_j,ke_area_mean_j_m-2,zeta_mean_s-1,zeta_rms_s-1,zeta_min_s-1,zeta_max_s-1,pv_mean_s-1_m-1,pv_rms_s-1_m-1,pv_min_s-1_m-1,pv_max_s-1_m-1
0,0.0,2.0402578876391534e+18,2.0402578876391534e+21,4194970252954136.5,0.0,1.0137869841421342e+24,0.0,1.0137869841421342e+24,1987566356.7515368,8.817417303008248e-25,8.205530943908622e-06,-0.0027778223319380813,0.0027778223319380813,5.820921898012219e-24,2.114992689071869e-08,-7.309154962161866e-07,6.579956697528541e-07
86400,0.75,2.0402578876391526e+18,2.0402578876391526e+21,4194970256359780.0,8.118397258244477e-10,1.0137869841421342e+24,3022029275214547.0,1.0137869871641636e+24,1987566356.7515368,8.817417303008248e-25,8.205530943908622e-06,-0.0027778223319380813,0.0027778223319380813,-2.55228123197036e-24,2.114992718082658e-08,-7.338036286340901e-07,6.606529355432407e-07
115200,1.0,2.0402578876391526e+18,2.0402578876391526e+21,4194970256359793.0,8.118428247737169e-10,1.0137869841421342e+24,3022029275214373.0,1.0137869871641636e+24,1987566356.7515368,8.817417303008248e-25,8.205530943908622e-06,-0.0027778223319380813,0.0027778223319380813,-2.5453717290281644e-24,2.114992718082658e-08,-7.338036286340929e-07,6.606529355432432e-07
172800,1.5,2.0402578876391532e+18,2.0402578876391531e+21,4194970270291887.5,4.132985445556043e-09,1.013786984142134e+24,1.208811710085811e+16,1.0137869962302511e+24,1987566356.7515364,8.817417303008248e-25,8.205530943908622e-06,-0.0027778223319380813,0.0027778223319380813,-1.6105828471066127e-24,2.114992805137491e-08,-7.376841929282722e-07,6.641466579677097e-07
230400,2.0,2.0402578876391532e+18,2.0402578876391531e+21,4194970270291914.0,4.132991762644938e-09,1.013786984142134e+24,1.2088117100856452e+16,1.0137869962302511e+24,1987566356.7515364,8.817417303008248e-25,8.205530943908622e-06,-0.0027778223319380813,0.0027778223319380813,-1.6105828471066127e-24,2.114992805137491e-08,-7.376841929282649e-07,6.641466579677031e-07
259200,2.25,2.0402578876391534e+18,2.0402578876391534e+21,4194970299170351.0,1.101705416562945e-08,1.0137869841421338e+24,2.719826347693256e+16,1.0137870113403973e+24,1987566356.7515361,8.817417303008248e-25,8.205530943908622e-06,-0.0027778223319380813,0.0027778223319380813,-2.3797665456071553e-24,2.1149929502550413e-08,-7.416060185004933e-07,6.676775284565888e-07
345600,3.0,2.0402578876391534e+18,2.0402578876391534e+21,4194970299170379.0,1.1017060840289415e-08,1.013786984142134e+24,2.7198263476936696e+16,1.0137870113403974e+24,1987566356.7515364,8.817417303008248e-25,8.205530943908622e-06,-0.0027778223319380813,0.0027778223319380813,-2.3795436584154715e-24,2.1149929502550413e-08,-7.416060185004859e-07,6.676775284565821e-07
432000,3.75,2.0402578876391542e+18,2.0402578876391542e+21,4194970256361648.5,8.122851401867269e-10,1.0137869841421341e+24,7.555073188036982e+16,1.013787059692866e+24,1987566356.7515366,8.817417303008248e-25,8.205530943908622e-06,-0.0027778223319380813,0.0027778223319380813,2.4571084011214087e-24,2.1149934148153202e-08,-7.495761141072945e-07,6.748531090257318e-07
460800,4.0,2.0402578876391544e+18,2.0402578876391545e+21,4194970270297953.0,4.134431343770871e-09,1.0137869841421342e+24,4.835246840344545e+16,1.0137870324946027e+24,1987566356.7515368,8.817417303008248e-25,8.205530943908622e-06,-0.0027778223319380813,0.0027778223319380813,6.2675878301464086e-24,2.114993153466445e-08,-7.455697669525093e-07,6.712461426585296e-07
518400,4.5,2.0402578876391537e+18,2.0402578876391537e+21,4194970252953655.5,-1.146611229629758e-13,1.0137869841421344e+24,1.0879305390773074e+17,1.0137870929351883e+24,1987566356.7515373,8.817417303008248e-25,8.205530943908622e-06,-0.0027778223319380813,0.0027778223319380813,6.531040490716574e-24,2.1149937343577945e-08,-7.53625750391607e-07,6.784990491583713e-07
