iteration,day,volume_m3,mass_kg,conserved_scalar_integral,conserved_scalar_rel_change,kinetic_energy_j,potential_energy_j,mechanical_energy_j,ke_area_mean_j_m-2,zeta_mean_s-1,zeta_rms_s-1,zeta_min_s-1,zeta_max_s-1,pv_mean_s-1_m-1,pv_rms_s-1_m-1,pv_min_s-1_m-1,pv_max_s-1_m-1
0,0.0,4.856983888592418e+18,4.856983888592418e+18,nan,nan,7.606251244490875e+21,7.32199555818899e+21,1.4928246802679866e+22,14912332.976283329,1.1295423607221922e-21,3.325440667267551e-05,-7.457847186602794e-05,7.451499619668912e-05,5.597025967098398e-14,1.1249692028050468e-08,-2.019346535977611e-08,2.019346535977611e-08
2880,1.0,4.856983888592415e+18,4.856983888592415e+18,nan,nan,7.612336264719676e+21,7.315546491846197e+21,1.4927882756565873e+22,14924262.880371762,-6.461053056641067e-19,3.318901702954873e-05,-7.793251362295905e-05,7.786183863198546e-05,4.7514363854355073e-14,1.1247543056567075e-08,-2.0193071367818727e-08,2.0197619866890752e-08
5760,2.0,4.856983888592419e+18,4.856983888592419e+18,nan,nan,7.670291936274811e+21,7.263002426591635e+21,1.4933294362866445e+22,15037887.088186387,1.3864181872907867e-18,3.3155096721722926e-05,-8.109979806480843e-05,8.10598886079324e-05,4.421734598763243e-14,1.1239039740911301e-08,-2.0193352084147695e-08,2.0197334538875617e-08
8640,3.0,4.856983888592416e+18,4.856983888592416e+18,nan,nan,7.743770675326608e+21,7.194985334627581e+21,1.493875600995419e+22,15181944.835977912,-5.521522133815105e-19,3.318725416567148e-05,-8.730093607501701e-05,8.73145677757264e-05,4.720577792147115e-14,1.1227723303327935e-08,-2.019502793214862e-08,2.0195720393360123e-08
11520,4.0,4.856983888592415e+18,4.856983888592415e+18,nan,nan,7.785778281289632e+21,7.156759377812168e+21,1.49425376591018e+22,15264302.279549189,2.810818577350202e-18,3.312577737369719e-05,-9.458515811459781e-05,9.489119042952084e-05,4.228698983667303e-14,1.1220269957058181e-08,-2.0197101762272774e-08,2.0203046616588972e-08
14400,5.0,4.856983888592419e+18,4.856983888592419e+18,nan,nan,7.816431206617437e+21,7.128689499298928e+21,1.4945120705916365e+22,15324398.457612785,-1.8225546003998906e-18,3.3107578857889925e-05,-0.00010134792958080639,0.00010175550087354214,4.3141202138391514e-14,1.1214873600467538e-08,-2.020068933977975e-08,2.0203748874761867e-08
17280,6.0,4.856983888592417e+18,4.856983888592417e+18,nan,nan,7.838859234696122e+21,7.107698918790147e+21,1.494655815348627e+22,15368369.42464507,-1.3625262779976811e-18,3.314261754161303e-05,-0.00010506848259668174,0.0001054914044630212,4.989065223969161e-14,1.1210928459587743e-08,-2.0203381964885027e-08,2.020812514023302e-08
20160,7.0,4.856983888592416e+18,4.856983888592416e+18,nan,nan,7.832640449006983e+21,7.113068973191456e+21,1.494570942219844e+22,15356177.268493017,-1.3925164379143746e-20,3.311460172458267e-05,-0.00010663846947100265,0.00010704959338896717,4.877230526194837e-14,1.1210304871928761e-08,-2.0205326007613198e-08,2.0211254907894845e-08
23040,8.0,4.856983888592415e+18,4.856983888592415e+18,nan,nan,7.820406485438909e+21,7.123876467628703e+21,1.4944282953067612e+22,15332192.136726698,-1.4704464160542873e-18,3.3085570935887305e-05,-0.00010420886858513738,0.00010452675200859151,4.6303301445959e-14,1.1210964226375493e-08,-2.020597102647907e-08,2.0226964293988865e-08
25920,9.0,4.856983888592416e+18,4.856983888592416e+18,nan,nan,7.818937867101098e+21,7.124752502341353e+21,1.4943690369442452e+22,15329312.856912693,2.7720644787917242e-18,3.3108037909223546e-05,-0.00010001512226418968,0.00010023963514319791,4.876675094408351e-14,1.1211355103655008e-08,-2.04596236809574e-08,2.055331954810048e-08
28800,10.0,4.856983888592415e+18,4.856983888592415e+18,nan,nan,7.803467438062344e+21,7.138661683079648e+21,1.4942129121141992e+22,15298982.516552327,-2.640014951380115e-18,3.3086514670138804e-05,-0.00010328019759131052,0.00010362949682536997,4.677412255919519e-14,1.1213769344078264e-08,-2.026220727244031e-08,2.024208294232157e-08
31680,11.0,4.856983888592417e+18,4.856983888592417e+18,nan,nan,7.780349860207622e+21,7.159676654702733e+21,1.4940026514910357e+22,15253659.662035203,2.226339062452929e-18,3.305556670455493e-05,-0.00010113126020395058,0.00010135497630412997,4.302933614685519e-14,1.1217085016566075e-08,-2.0197699247004164e-08,2.0201946114925954e-08
34560,12.0,4.856983888592415e+18,4.856983888592415e+18,nan,nan,7.769084939644559e+21,7.169711771083586e+21,1.4938796710728145e+22,15231574.374422668,1.665979693333045e-18,3.3097608775826236e-05,-9.681131058875347e-05,9.7041405267739e-05,4.556998142295633e-14,1.121904751138169e-08,-2.0197381595723484e-08,2.0199249897103997e-08
37440,13.0,4.856983888592414e+18,4.856983888592414e+18,nan,nan,7.748371398430051e+21,7.188540193774439e+21,1.493691159220449e+22,15190964.721417524,-3.864817628848641e-18,3.312351189400788e-05,-9.225548415410833e-05,9.239492728999708e-05,4.7251174739726335e-14,1.1222086339949158e-08,-2.0196924879865107e-08,2.0205982408384822e-08
