iteration,day,eta_finite_fraction,u_finite_fraction,v_finite_fraction,scalar_finite_fraction,minimum_state_finite_fraction,volume_m3,volume_rel_change,mass_kg,mass_rel_change,eta_volume_anomaly_m3,eta_volume_anomaly_delta_m3,tracer_area_integral,tracer_area_rel_change,tracer_mass_integral,tracer_mass_rel_change,kinetic_energy_j,kinetic_energy_rel_change,surface_potential_energy_j,surface_potential_energy_rel_change,potential_energy_anomaly_j,mechanical_energy_j,mechanical_energy_rel_change,mechanical_energy_anomaly_j,mechanical_energy_anomaly_rel_change,zeta_mean_s-1,zeta_rms_s-1,zeta_min_s-1,zeta_max_s-1,pv_mean_s-1_m-1,pv_rms_s-1_m-1,pv_min_s-1_m-1,pv_max_s-1_m-1,potential_enstrophy,potential_enstrophy_rel_change
0,0.0,1.0,1.0,1.0,nan,1.0,2.8744831158873897e+18,0.0,2.8744831158873897e+18,0.0,-1.2060326593903642e+18,0.0,nan,nan,nan,nan,3.94536166038651e+20,0.0,1.418311673956729e+22,0.0,-8.04663263693885e+22,1.4577652905605941e+22,0.0,-8.007179020334985e+22,0.0,9.168774117997305e-07,8.360852381200068e-05,-0.0009714026193990104,0.0010443799763494776,2.660865289796767e-10,2.0673627941961283e-08,-1.611553462838959e-07,1.6375326922488076e-07,553.5331823060387,0.0
3456,1.0,1.0,1.0,1.0,nan,1.0,2.8744831158873897e+18,0.0,2.8744831158873897e+18,0.0,-1.2060326593903642e+18,0.0,nan,nan,nan,nan,2.8441299383039587e+20,-0.279120602083072,1.425730247855779e+22,0.005230566761362197,-8.0392140630398e+22,1.4541715472388186e+22,-0.0024652413835381725,-8.010772763656761e+22,-0.0004488151585782589,3.2997796825488582e-06,7.212825557409902e-05,-0.0006451465888722573,0.000920985097846747,5.114694420652657e-10,1.9843027208053523e-08,-1.0225155778815324e-07,1.4455392139305345e-07,509.7260188686921,-0.0791409889012334
6912,2.0,1.0,1.0,1.0,nan,1.0,2.8744831158873897e+18,0.0,2.8744831158873897e+18,0.0,-1.2060326593903642e+18,0.0,nan,nan,nan,nan,2.869909863196697e+20,-0.27258636590604873,1.4211468458749084e+22,0.001998976649659844,-8.043797465020671e+22,1.4498459445068753e+22,-0.005432524772676779,-8.015098366388704e+22,-0.0009890307227560249,-4.4078738863006934e-07,6.95885753130344e-05,-0.000917814782561457,0.000599720294813521,-1.9542361908525982e-10,1.980782102624158e-08,-1.427375820947637e-07,1.263900815866297e-07,507.945230413904,-0.08235811934925687
10368,3.0,1.0,1.0,1.0,nan,1.0,2.87448311588739e+18,1.7811897978114894e-16,2.87448311588739e+18,1.7811897978114894e-16,-1.2060326593903642e+18,0.0,nan,nan,nan,nan,2.844046643117487e+20,-0.2791417142633084,1.4189380926261527e+22,0.0004416650309844756,-8.046006218269426e+22,1.4473785590573276e+22,-0.007125105509455689,-8.01756575183825e+22,-0.001297177380059498,-3.8131618230224666e-06,6.6747551992839e-05,-0.0007351015911384216,0.00047400282109996824,-6.64234275601076e-10,1.9685255059552798e-08,-1.5471072939112878e-07,1.0878709093127155e-07,503.0192660538635,-0.09125725045377135
13824,4.0,1.0,1.0,1.0,nan,1.0,2.8744831158873897e+18,0.0,2.8744831158873897e+18,0.0,-1.2060326593903642e+18,0.0,nan,nan,nan,nan,2.7840737836551143e+20,-0.29434256646008705,1.417735356606935e+22,-0.00040634041189702955,-8.047208954288644e+22,1.4455760944434862e+22,-0.008361562863402013,-8.019368216452093e+22,-0.0015222834516566328,-4.281463602940377e-06,6.34055622482092e-05,-0.0008168542873505735,0.0004667367016988476,-6.26001792347726e-10,1.912847880914542e-08,-1.6448926254610073e-07,1.0173781437434225e-07,475.8462028776292,-0.14034746590035097
17280,5.0,1.0,1.0,1.0,nan,1.0,2.8744831158873897e+18,0.0,2.8744831158873897e+18,0.0,-1.2060326593903642e+18,0.0,nan,nan,nan,nan,2.924826236525816e+20,-0.2586671417496151,1.4143123552081816e+22,-0.002819774258354847,-8.050631955687398e+22,1.4435606175734397e+22,-0.00974414268135846,-8.021383693322141e+22,-0.0017739921826502886,-3.6274224669895998e-06,6.324044181231828e-05,-0.0006932481028558286,0.0005556567995763039,-4.218424800064633e-10,1.924872889352136e-08,-1.4107134011239783e-07,1.273329334432852e-07,484.8791930461765,-0.12402867877558357
