iteration,day,l1_eta,l2_eta,linf_eta,mean_error_eta,mean_abs_error_eta,rmse_eta,max_abs_error_eta,min_error_eta,max_error_eta,eta_min,eta_max,reference_min_eta,reference_max_eta,l1_u,l2_u,linf_u,mean_error_u,mean_abs_error_u,rmse_u,max_abs_error_u,min_error_u,max_error_u,u_min,u_max,reference_min_u,reference_max_u,l1_v,l2_v,linf_v,mean_error_v,mean_abs_error_v,rmse_v,max_abs_error_v,min_error_v,max_error_v,v_min,v_max,reference_min_v,reference_max_v
0.0,0.0,2.0928177418926624e-08,2.3882035055055172e-08,3.197214971387778e-08,4.763685250269405e-07,1.3285264106784298e-05,2.0339785476210407e-05,6.088763711886713e-05,-6.0006100284226704e-05,6.088763711886713e-05,-1904.3961181640625,-0.009064282290637493,-1904.3960967203384,-0.009064282281087799,2.2893178809453082e-08,2.737245191557318e-08,4.9190942483843737e-08,-3.003897211307706e-08,6.942056151015415e-07,8.628998324376942e-07,1.8992257722061368e-06,-1.8992257722061368e-06,1.820809657715472e-06,0.08423246443271637,38.609256744384766,0.08423246709807256,38.60925764595623,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1440.0,1.0,9.019947922961595e-07,7.428625160868956e-07,5.579888028534646e-07,4.763683499227453e-07,0.0005725887543251307,0.0006326790903996709,0.0010626316981677923,-0.0010626316981677923,0.0006761712102161255,-1904.395631903782,-0.010126913944939468,-1904.3960967203384,-0.009064282281087799,1.179521693698593e-06,1.3140493057599966e-06,1.615799075217931e-06,3.573075579044502e-05,3.576744801213588e-05,4.142460197765683e-05,6.23848027991869e-05,-1.2493609631292202e-06,6.23848027991869e-05,0.08423264922801409,38.60925674614944,0.08423246709807256,38.60925764595623,8.63318397001518e-06,9.746836267853405e-06,1.5896044010352273e-05,-5.596670123019373e-09,8.63318397001518e-06,9.746836267853405e-06,1.5896044010352273e-05,-1.5896043373167523e-05,1.5896044010352273e-05,-1.5896043373167523e-05,1.5896044010352273e-05,0.0,0.0
2880.0,2.0,2.68031584888038e-07,2.287775028854905e-07,2.189091011625503e-07,4.7636838291530325e-07,0.00017014718113853754,0.00019484459007562723,0.00041688963779051846,-0.000257804787565874,0.00041688963779051846,-1904.3956800469336,-0.008865668661381644,-1904.3960967203384,-0.009064282281087799,2.939761421166744e-07,3.993948765918444e-07,6.642665184219484e-07,7.272384981450623e-06,8.914440858646296e-06,1.2590679605559892e-05,2.5646837155335334e-05,-4.823432846023934e-06,2.5646837155335334e-05,0.08423263111117393,38.60925674405435,0.08423246709807256,38.60925764595623,8.845596958299163e-06,1.023853107857359e-05,1.5292697430530078e-05,-1.1298438991746154e-08,8.845596958299163e-06,1.023853107857359e-05,1.5292697430530078e-05,-1.5292693771123966e-05,1.5292697430530078e-05,-1.5292693771123966e-05,1.5292697430530078e-05,0.0,0.0
4320.0,3.0,8.178655246539625e-07,6.761282932712169e-07,5.205770450087192e-07,4.763684446270692e-07,0.0005191832657647106,0.0005758430723273661,0.0009913848925568128,-0.0009913848925568128,0.0005861615977664769,-1904.3956032196886,-0.010055667145625963,-1904.3960967203384,-0.009064282281087799,1.0830694797137817e-06,1.2004826992132958e-06,1.4548319255570052e-06,3.2805225622797126e-05,3.28426611533715e-05,3.784448405245512e-05,5.6169980645393025e-05,-1.258665925263358e-06,5.6169980645393025e-05,0.08423266062451203,38.60925674603031,0.08423246709807256,38.60925764595623,1.4514795971853977e-05,1.6307491365145974e-05,2.3673862487860742e-05,3.206958910345151e-08,1.4514795971853977e-05,1.6307491365145974e-05,2.3673862487860742e-05,-2.367386023255369e-05,2.3673862487860742e-05,-2.367386023255369e-05,2.3673862487860742e-05,0.0,0.0
5760.0,4.0,1.595708224000485e-07,1.3582205737481923e-07,1.1658223255249096e-07,4.7636846539663505e-07,0.00010129599328626796,0.00011567655367613239,0.00022201874861990656,-0.00022201874861990656,0.00015965880493240547,-1904.395937073954,-0.009286300984998188,-1904.3960967203384,-0.009064282281087799,2.1577247098486661e-07,2.3322058009812245e-07,2.8800742392003413e-07,6.439288592811742e-06,6.5430171226451595e-06,7.352136378151625e-06,1.1119752834076735e-05,-1.3584228497620643e-06,1.1119752834076735e-05,0.0842325331774292,38.6092567447513,0.08423246709807256,38.60925764595623,1.641616146171179e-05,1.80605542592623e-05,2.5627455466442628e-05,-2.4932889292223965e-08,1.641616146171179e-05,1.80605542592623e-05,2.5627455466442628e-05,-2.5627455466442628e-05,2.5627454892096502e-05,-2.5627455466442628e-05,2.5627454892096502e-05,0.0,0.0
7200.0,5.0,6.800609920087615e-07,5.603544429428671e-07,4.141660884125978e-07,4.763683952305118e-07,0.0004317045725820067,0.0004772411201065867,0.0007887362821668818,-0.0007887362821668818,0.0005119579473102931,-1904.3956440761053,-0.009853018532264834,-1904.3960967203384,-0.009064282281087799,9.36970920099438e-07,1.0433325665150096e-06,1.279350740199028e-06,2.837099157279644e-05,2.8412413991686586e-05,3.28904220783518e-05,4.939478234788908e-05,-1.2847150543393582e-06,4.939478234788908e-05,0.08423264458123836,38.60925674569603,0.08423246709807256,38.60925764595623,1.8274207431716567e-05,2.193178937436225e-05,3.47896075505727e-05,1.4392127460588047e-08,1.8274207431716567e-05,2.193178937436225e-05,3.47896075505727e-05,-3.478960728477143e-05,3.47896075505727e-05,-3.478960728477143e-05,3.47896075505727e-05,0.0,0.0
8640.0,6.0,3.101432762764087e-07,2.616884650676956e-07,2.2780913026849702e-07,4.763684956312057e-07,0.00019687979769080074,0.00022287410720256198,0.0004338388184805808,-0.00020523041064279823,0.0004338388184805808,-1904.3956630039715,-0.009212253955273952,-1904.3960967203384,-0.009064282281087799,5.286716603601614e-07,6.332261652107595e-07,8.818556420391156e-07,1.590510068124544e-05,1.603127456531e-05,1.9962068196917907e-05,3.404779169002836e-05,-1.456139642641574e-06,3.404779169002836e-05,0.08423263742460527,38.6092567446278,0.08423246709807256,38.60925764595623,2.043277750582183e-05,2.2756826287860024e-05,3.309681743512982e-05,-2.9092584413985898e-08,2.043277750582183e-05,2.2756826287860024e-05,3.309681743512982e-05,-3.309681743512982e-05,3.309681739988024e-05,-3.309681743512982e-05,3.309681739988024e-05,0.0,0.0
10080.0,7.0,5.301751063031093e-07,4.3529918972657037e-07,3.124490755726087e-07,4.7636857360262237e-07,0.00033655660352484236,0.00037073440837834,0.000595026799944354,-0.000595026799944354,0.000413503368235979,-1904.3957559208297,-0.009659309046396945,-1904.3960967203384,-0.009064282281087799,7.348031208356558e-07,8.21244650869226e-07,1.021835730491366e-06,2.2234449601945203e-05,2.228194069176692e-05,2.5889236149218695e-05,3.945231899038504e-05,-1.309866227927614e-06,3.945231899038504e-05,0.08423260251461623,38.60925674537366,0.08423246709807256,38.60925764595623,2.241420174717722e-05,2.4481295151253876e-05,3.3718223338752296e-05,4.120189485448148e-08,2.241420174717722e-05,2.4481295151253876e-05,3.3718223338752296e-05,-3.371822307104977e-05,3.3718223338752296e-05,-3.371822307104977e-05,3.3718223338752296e-05,0.0,0.0
11520.0,8.0,4.663170682796288e-07,3.866844671442203e-07,3.047845366823413e-07,4.7636849504455744e-07,0.00029601934681581913,0.0003293303560841793,0.0005804304819985676,-0.0005804304819985676,0.0003348583138631511,-1904.3958740257365,-0.009644712734236022,-1904.3960967203384,-0.009064282281087799,5.821575431971708e-07,6.447796782686644e-07,7.996556052791553e-07,1.7604865252836877e-05,1.7653163797170768e-05,2.0326285641247795e-05,3.087410929225598e-05,-1.3120668498345367e-06,3.087410929225598e-05,0.08423255721418337,38.60925674534573,0.08423246709807256,38.60925764595623,2.1301333814011313e-05,2.370883224064371e-05,3.398424504982844e-05,-3.1606841428275064e-08,2.1301333814011313e-05,2.370883224064371e-05,3.398424504982844e-05,-3.3984243951734605e-05,3.398424504982844e-05,-3.3984243951734605e-05,3.398424504982844e-05,0.0,0.0
12960.0,9.0,3.668963637820791e-07,3.0376697390758495e-07,1.947623932456481e-07,4.763684705436728e-07,0.00023290681243248585,0.00025871141507809034,0.00037090474148492383,-0.00037090474148492383,0.00036912750601914013,-1904.3957275933026,-0.00943518699794227,-1904.3960967203384,-0.009064282281087799,5.733284576369816e-07,6.483883651912337e-07,8.193557550862693e-07,1.7319372776890663e-05,1.7385433359947066e-05,2.044004729294088e-05,3.163471745182278e-05,-1.338757954272296e-06,3.163471745182278e-05,0.08423261296489555,38.60925674500312,0.08423246709807256,38.60925764595623,1.9622431927962692e-05,2.352221151239864e-05,3.696187582638566e-05,2.0887413287976935e-08,1.9622431927962692e-05,2.352221151239864e-05,3.696187582638566e-05,-3.696187582638566e-05,3.69618748841255e-05,-3.696187582638566e-05,3.69618748841255e-05,0.0,0.0
