iteration,day,volume_m3,mass_kg,conserved_scalar_integral,conserved_scalar_rel_change,kinetic_energy_j,potential_energy_j,mechanical_energy_j,ke_area_mean_j_m-2,zeta_mean_s-1,zeta_rms_s-1,zeta_min_s-1,zeta_max_s-1,pv_mean_s-1_m-1,pv_rms_s-1_m-1,pv_min_s-1_m-1,pv_max_s-1_m-1
0,0.0,2.86659428277356e+18,2.86659428277356e+18,nan,nan,3.90837525491426e+20,4.684077520713712e+20,8.592452775627973e+20,766251.2231601792,8.30210211583547e-22,3.6248212255824912e-06,-6.2788320255575225e-06,6.2788320255575225e-06,4.8850911841871115e-11,1.6425711087139737e-08,-3.046955419022071e-08,3.046955419022071e-08
1440,1.0,2.866594282773555e+18,2.866594282773555e+18,nan,nan,3.919337364983236e+20,4.671674141010412e+20,8.591011505993647e+20,768400.3848196713,3.0677786015047375e-13,4.21628854808728e-06,-1.5274797074366196e-05,3.964864104126221e-05,4.3769532898906086e-11,1.642192794249224e-08,-3.1710142263009325e-08,3.2368549141658745e-08
2880,2.0,2.866594282773558e+18,2.866594282773558e+18,nan,nan,3.937915182288184e+20,4.651138058179477e+20,8.58905324046766e+20,772042.633658409,2.246078470976586e-12,5.050742824297017e-06,-1.8637678793757247e-05,4.521748926055392e-05,3.687149162368267e-11,1.641759301256451e-08,-3.1054851628410095e-08,3.354143921983598e-08
4320,3.0,2.866594282773558e+18,2.866594282773558e+18,nan,nan,3.952208991507463e+20,4.635199545621807e+20,8.58740853712927e+20,774844.9870875274,3.6377359524546313e-12,5.703556530047513e-06,-2.520217066186707e-05,3.7560314861103396e-05,3.2698246214479845e-11,1.6415526334217212e-08,-3.262125789090989e-08,3.2026801303025374e-08
5760,4.0,2.866594282773557e+18,2.866594282773557e+18,nan,nan,3.961937901195424e+20,4.6243579297721477e+20,8.586295830967571e+20,776752.3753146537,7.319612843580383e-13,6.285368660589763e-06,-2.69536160488009e-05,3.551848890610358e-05,3.0477458639333673e-11,1.6414029195205707e-08,-3.425907414451033e-08,3.3291115162021756e-08
7200,5.0,2.866594282773556e+18,2.866594282773556e+18,nan,nan,3.970359018139331e+20,4.614786500112028e+20,8.585145518251358e+20,778403.3660045908,-5.5671973474494605e-12,6.811119417382547e-06,-3.6808166292610064e-05,3.4120727339594774e-05,3.049589365531777e-11,1.6412567334698664e-08,-3.6581390766296904e-08,3.5071821267753795e-08
8640,6.0,2.8665942827735583e+18,2.8665942827735583e+18,nan,nan,3.9825871260654476e+20,4.601140873860074e+20,8.583727999925522e+20,780800.7311612604,-3.981653882106356e-12,7.2982960329776286e-06,-5.941410757028078e-05,4.0157951773830696e-05,3.262473995373434e-11,1.6410891865394658e-08,-4.109470914529033e-08,3.715255376860131e-08
10080,7.0,2.8665942827735583e+18,2.8665942827735583e+18,nan,nan,3.998859095796698e+20,4.583255357305448e+20,8.582114453102146e+20,783990.9101734008,2.8223949414965487e-12,7.75057893879872e-06,-8.452971883833376e-05,8.463466269322272e-05,3.621750964198449e-11,1.6408969303378775e-08,-4.609854343147292e-08,4.60040230958652e-08
11520,8.0,2.866594282773557e+18,2.866594282773557e+18,nan,nan,4.023103158970568e+20,4.5567179494168514e+20,8.579821108387419e+20,788744.0471803942,2.3311933316841445e-11,8.193085893452872e-06,-0.00013448615946219569,8.652112063794121e-05,4.0436218909490963e-11,1.6406208952193876e-08,-5.020406459688986e-08,4.632642552943263e-08
12960,9.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
14400,10.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
15840,11.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
17280,12.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
18720,13.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
20160,14.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
21600,15.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
