Williamson TC1 error table
error = MITgcm - exact

   day           L1           L2         Linf      RMSE[m]         mass
  0.00  2.05631e-08  2.34395e-08  3.04677e-08  1.61962e-06 -3.64766e-10
  1.00  7.93682e-05  1.22204e-04  7.28955e-04  8.44405e-03  3.01504e-08
  2.00  1.56268e-04  1.78939e-04  9.39118e-04  1.23643e-02  6.66612e-08
  3.00  3.52792e-04  1.19840e-03  2.31063e-02  8.28099e-02 -4.55359e-05
  4.00  4.17592e-04  1.04193e-03  1.06907e-02  7.19947e-02  6.66602e-08
  5.00  3.44223e-04  4.99943e-04  2.21163e-03  3.45449e-02  3.01499e-08
  6.00  3.23423e-04  3.54317e-04  1.32403e-03  2.44825e-02 -3.65684e-10
  7.00  3.39276e-04  3.42881e-04  1.34965e-03  2.36923e-02  3.01494e-08
  8.00  3.93217e-04  3.79669e-04  1.45261e-03  2.62342e-02  6.66602e-08
  9.00  5.90821e-04  1.25794e-03  2.32016e-02  8.69240e-02 -4.55359e-05
 10.00  6.50782e-04  1.10910e-03  1.07787e-02  7.66361e-02  6.66592e-08
 11.00  5.71462e-04  6.27354e-04  2.25679e-03  4.33487e-02  3.01490e-08
 12.00  5.47001e-04  5.24320e-04  1.55910e-03  3.62293e-02 -3.66444e-10
