case,alpha,status,health_verdict,min_state_finite_fraction,first_bad_day,nonfinite_state_records,run_dir,iterations,last_day,fields,max_abs_mass_rel_change,max_abs_tracer_mass_rel_change,max_abs_mechanical_energy_rel_change,max_abs_potential_enstrophy_rel_change,mass_verdict,quantity_verdict,energy_verdict,enstrophy_verdict,output_dir
TC1,0,available,finite state fields,1.0,nan,0,/scratch/p8190783-hmh85/MITgcm/Sandbox/vortexSphere_Williamson_TC1/run_alpha_0,13,12.0,"eta:Eta,u:U,v:V,scalar:S",0.0,1.2205092506661872e-16,0.0,0.0,preserved to roundoff,preserved to roundoff,preserved to roundoff,preserved to roundoff,/scratch/p8190783-hmh85/MITgcm/Sandbox/output/TestCase1/Diagnosis/conservation/alpha_0
TC1,0.05,available,finite state fields,1.0,nan,0,/scratch/p8190783-hmh85/MITgcm/Sandbox/vortexSphere_Williamson_TC1/run_alpha_0.05,13,12.0,"eta:Eta,u:U,v:V,scalar:S",7.709143091807921e-16,1.966472226350299e-08,1.2331022129017876e-07,2.7572320922838358e-09,preserved to roundoff,well preserved,small drift,well preserved,/scratch/p8190783-hmh85/MITgcm/Sandbox/output/TestCase1/Diagnosis/conservation/alpha_0.05
TC1,1.52,available,finite state fields,1.0,nan,0,/scratch/p8190783-hmh85/MITgcm/Sandbox/vortexSphere_Williamson_TC1/run_alpha_1.52,13,12.0,"eta:Eta,u:U,v:V,scalar:S",3.8545715459039603e-16,1.1420817672368794e-08,4.5785627983470025e-07,1.5802279938601485e-06,preserved to roundoff,well preserved,small drift,small drift,/scratch/p8190783-hmh85/MITgcm/Sandbox/output/TestCase1/Diagnosis/conservation/alpha_1.52
TC1,1.57,available,finite state fields,1.0,nan,0,/scratch/p8190783-hmh85/MITgcm/Sandbox/vortexSphere_Williamson_TC1/run_alpha_1.57,21,12.0,"eta:Eta,u:U,v:V,scalar:S",7.709143091807921e-16,6.213203846593511e-08,4.292540962002282e-07,1.3191442268329435e-06,preserved to roundoff,well preserved,small drift,small drift,/scratch/p8190783-hmh85/MITgcm/Sandbox/output/TestCase1/Diagnosis/conservation/alpha_1.57
