iteration,day,eta_finite_fraction,u_finite_fraction,v_finite_fraction,scalar_finite_fraction,minimum_state_finite_fraction,volume_m3,volume_rel_change,mass_kg,mass_rel_change,eta_volume_anomaly_m3,eta_volume_anomaly_delta_m3,tracer_area_integral,tracer_area_rel_change,tracer_mass_integral,tracer_mass_rel_change,kinetic_energy_j,kinetic_energy_rel_change,surface_potential_energy_j,surface_potential_energy_rel_change,potential_energy_anomaly_j,mechanical_energy_j,mechanical_energy_rel_change,mechanical_energy_anomaly_j,mechanical_energy_anomaly_rel_change,zeta_mean_s-1,zeta_rms_s-1,zeta_min_s-1,zeta_max_s-1,pv_mean_s-1_m-1,pv_rms_s-1_m-1,pv_min_s-1_m-1,pv_max_s-1_m-1,potential_enstrophy,potential_enstrophy_rel_change
0,0.0,1.0,1.0,1.0,nan,1.0,2.8732055227752346e+18,0.0,2.8732055227752346e+18,0.0,-1.2073102525025196e+18,0.0,nan,nan,nan,nan,3.61679433256087e+20,0.0,1.4218093379739353e+22,0.0,-8.05316152366584e+22,1.457977281299544e+22,0.0,-8.01699358034023e+22,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
3456,1.0,1.0,1.0,1.0,nan,1.0,2.8732055227752346e+18,0.0,2.8732055227752346e+18,0.0,-1.2073102525025196e+18,0.0,nan,nan,nan,nan,2.53776064563629e+20,-0.29833979698828234,1.4271512774278612e+22,0.003757141911543608,-8.047819584211912e+22,1.4525288838842242e+22,-0.00373695631969201,-8.022441977755549e+22,-0.0006796060593935283,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
6912,2.0,1.0,1.0,1.0,nan,1.0,2.8732055227752346e+18,0.0,2.8732055227752346e+18,0.0,-1.2073102525025198e+18,-256.0,nan,nan,nan,nan,2.401765523013923e+20,-0.33594080775022844,1.4243343174578037e+22,0.0017758917573761819,-8.05063654418197e+22,1.4483519726879429e+22,-0.006601823454355658,-8.02661888895183e+22,-0.0012006132367628855,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
10368,3.0,1.0,1.0,1.0,nan,1.0,2.8732055227752346e+18,0.0,2.8732055227752346e+18,0.0,-1.2073102525025196e+18,0.0,nan,nan,nan,nan,2.4013065810411953e+20,-0.3360676996690185,1.4214314516169923e+22,-0.0002657785026798443,-8.053539410022782e+22,1.4454445174274044e+22,-0.008595993938237944,-8.02952634421237e+22,-0.0015632747795723224,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
13824,4.0,1.0,1.0,1.0,nan,1.0,2.8732055227752346e+18,0.0,2.8732055227752346e+18,0.0,-1.2073102525025193e+18,256.0,nan,nan,nan,nan,2.306549764949379e+20,-0.3622668161735845,1.4206167529721885e+22,-0.0008387798348871411,-8.054354108667584e+22,1.4436822506216823e+22,-0.009804700567844188,-8.03128861101809e+22,-0.0017830911967940462,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
17280,5.0,1.0,1.0,1.0,nan,1.0,2.8732055227752346e+18,0.0,2.8732055227752346e+18,0.0,-1.2073102525025196e+18,0.0,nan,nan,nan,nan,2.5317441897888927e+20,-0.30000327444765373,1.4159005165182937e+22,-0.004155846566644181,-8.05907034512148e+22,1.4412179584161826e+22,-0.011494913602784772,-8.03375290322359e+22,-0.0020904747790315616,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
