iteration,day,volume_m3,mass_kg,conserved_scalar_integral,conserved_scalar_rel_change,kinetic_energy_j,potential_energy_j,mechanical_energy_j,ke_area_mean_j_m-2,zeta_mean_s-1,zeta_rms_s-1,zeta_min_s-1,zeta_max_s-1,pv_mean_s-1_m-1,pv_rms_s-1_m-1,pv_min_s-1_m-1,pv_max_s-1_m-1
0,0.0,2.0402578876391534e+18,2.0402578876391534e+21,4194970252954136.5,0.0,1.013786998691777e+24,0.0,1.013786998691777e+24,1987566385.2766423,-3.6985009039230956e-23,8.20273524366672e-06,-0.002774956309167601,0.002773744363917659,8.817417303008248e-25,2.1236702341986725e-08,-7.301989905235666e-07,6.569761777477485e-07
115200,1.0,2.040257887639153e+18,2.040257887639153e+21,4194970252871971.5,-1.958655128534908e-11,1.0137869986918856e+24,3223384943830301.0,1.0137870019152705e+24,1987566385.276855,-3.6985009039230956e-23,8.20273524366672e-06,-0.002774956309167601,0.002773744363917659,-4.647192369968176e-19,2.1236702691050534e-08,-7.318605745351415e-07,6.590742034451597e-07
230400,2.0,2.040257887639153e+18,2.040257887639153e+21,4194970251654341.0,-3.0984617807114893e-10,1.0137869986919955e+24,1.2893539775320004e+16,1.0137870115855352e+24,1987566385.2770705,-3.6985009039230956e-23,8.20273524366672e-06,-0.002774956309167601,0.002773744363917659,-1.8590132134152142e-18,2.123670373819287e-08,-7.338641037852022e-07,6.618557231619474e-07
345600,3.0,2.040257887639153e+18,2.040257887639153e+21,4194970241512409.0,-2.7274871596390058e-09,1.0137869986921048e+24,2.9010464494470684e+16,1.0137870277025693e+24,1987566385.2772849,-3.6985009039230956e-23,8.20273524366672e-06,-0.002774956309167601,0.002773744363917659,-4.183239223218526e-18,2.123670548365047e-08,-7.362780475760104e-07,6.646608203225393e-07
460800,4.0,2.0402578876391537e+18,2.0402578876391537e+21,4194970251650047.5,-3.1086966566250347e-10,1.0137869986922137e+24,5.157415910128983e+16,1.0137870502663728e+24,1987566385.2774985,-3.6985009039230956e-23,8.20273524366672e-06,-0.002774956309167601,0.002773744363917659,-7.438007914012003e-18,2.123670792781829e-08,-7.387079244404411e-07,6.674897959828337e-07
576000,5.0,2.0402578876391537e+18,2.0402578876391537e+21,4194970252870072.5,-2.0039236259375465e-11,1.013786998692323e+24,8.05846235957715e+16,1.0137870792769466e+24,1987566385.2777126,-3.6985009039230956e-23,8.20273524366672e-06,-0.002774956309167601,0.002773744363917659,-1.162416206372442e-17,2.123671107124977e-08,-7.411538926485909e-07,6.703429563462042e-07
691200,6.0,2.040257887639153e+18,2.040257887639153e+21,4194970252950237.0,-9.295655904243746e-13,1.0137869986924326e+24,1.160418579779054e+17,1.0137871147342906e+24,1987566385.2779276,-3.6985009039230956e-23,8.20273524366672e-06,-0.002774956309167601,0.002773744363917659,-1.674280360211387e-17,2.123671491465718e-08,-7.437524745410611e-07,6.732206128737126e-07
806400,7.0,2.040257887639153e+18,2.040257887639153e+21,4194970252868018.5,-2.0528870243920065e-11,1.0137869986925419e+24,1.5794586224767827e+17,1.0137871566384042e+24,1987566385.2781417,-3.6985009039230956e-23,8.20273524366672e-06,-0.002774956309167601,0.002773744363917659,-2.2795279436702584e-17,2.123671945891217e-08,-7.470925200442131e-07,6.761230823977694e-07
921600,8.0,2.0402578876391537e+18,2.0402578876391537e+21,4194970251650363.0,-3.1079445654754544e-10,1.0137869986926512e+24,2.062966364050935e+17,1.0137872049892875e+24,1987566385.278356,-3.6985009039230956e-23,8.20273524366672e-06,-0.002774956309167601,0.002773744363917659,-2.978316880593479e-17,2.1236724705046262e-08,-7.50596913700026e-07,6.790506872383074e-07
1036800,9.0,2.0402578876391526e+18,2.0402578876391526e+21,4194970241509460.5,-2.7281900251713474e-09,1.0137869986927611e+24,2.6109418045023395e+17,1.0137872597869416e+24,1987566385.2785716,-3.6985009039230956e-23,8.20273524366672e-06,-0.002774956309167601,0.002773744363917659,-3.77083074539673e-17,2.1236730654251607e-08,-7.541343384773943e-07,6.820037553221026e-07
1152000,10.0,2.0402578876391534e+18,2.0402578876391534e+21,4194970251645852.5,-3.118696727536255e-10,1.0137869986928702e+24,3.223384943830215e+17,1.0137873210313646e+24,1987566385.2787855,-3.6985009039230956e-23,8.20273524366672e-06,-0.002774956309167601,0.002773744363917659,-4.657276550220621e-17,2.123673730788179e-08,-7.577052635964116e-07,6.849826203052225e-07
1267200,11.0,2.0402578876391526e+18,2.0402578876391526e+21,4194970252866283.0,-2.0942579971367557e-11,1.0137869986929795e+24,3.9002957820340224e+17,1.0137873887225577e+24,1987566385.2789996,-3.6985009039230956e-23,8.20273524366672e-06,-0.002774956309167601,0.002773744363917659,-5.637889464188071e-17,2.123674466745271e-08,-7.613101672067294e-07,6.879876216986977e-07
1382400,12.0,2.0402578876391537e+18,2.0402578876391537e+21,4194970252946994.5,-1.7025150523941233e-12,1.0137869986930886e+24,4.6416743191144064e+17,1.0137874628605205e+24,1987566385.2792137,-3.6985009039230956e-23,8.20273524366672e-06,-0.002774956309167601,0.002773744363917659,-6.712925417004288e-17,2.1236752734643614e-08,-7.649495366009911e-07,6.910191049975151e-07
