iteration,day,mass,kinetic_energy,potential_energy,mechanical_energy
0.0,0.0,2.0402578876391532e+18,1.0137893962757924e+24,0.0,1.0137893962757924e+24
1440.0,1.0,2.0402578876391532e+18,1.0137893962759867e+24,868112953610938.5,1.0137893971440997e+24
2880.0,2.0,2.0402578876391532e+18,1.0137893962761809e+24,3472451814443755.0,1.0137893997486327e+24
4320.0,3.0,2.0402578876391532e+18,1.013789396276375e+24,7813016582498448.0,1.0137894040893916e+24
5760.0,4.0,2.0402578876391532e+18,1.013789396276569e+24,1.3889807257775012e+16,1.0137894101663762e+24
7200.0,5.0,2.0402578876391532e+18,1.0137893962767632e+24,2.1702823840273452e+16,1.013789417979587e+24
8640.0,6.0,2.0402578876391532e+18,1.0137893962769575e+24,3.1252066329993776e+16,1.0137894275290238e+24
10080.0,7.0,2.0402578876391532e+18,1.0137893962771515e+24,4.253753472693598e+16,1.0137894388146863e+24
11520.0,8.0,2.0402578876391532e+18,1.0137893962773459e+24,5.555922903110006e+16,1.013789451836575e+24
12960.0,9.0,2.0402578876391532e+18,1.01378939627754e+24,7.031714924248601e+16,1.0137894665946892e+24
14400.0,10.0,2.0402578876391532e+18,1.013789396277734e+24,8.681129536109382e+16,1.0137894830890294e+24
15840.0,11.0,2.0402578876391532e+18,1.0137893962779281e+24,1.0504166738692352e+17,1.0137895013195955e+24
17280.0,12.0,2.0402578876391532e+18,1.0137893962781223e+24,1.2500826531997507e+17,1.0137895212863876e+24
