iteration,day,l1_tracer,l2_tracer,linf_tracer,mean_error_tracer,mean_abs_error_tracer,rmse_tracer,max_abs_error_tracer,min_error_tracer,max_error_tracer,tracer_min,tracer_max,reference_min_tracer,reference_max_tracer,relative_mass_error_tracer,normalized_l1,normalized_l2,normalized_linf,mean_error,mean_abs_error,rmse,max_abs_error,min_error,max_error,relative_mass_error
0.0,0.0,2.0563125513032858e-08,2.3439537003246202e-08,3.0467749550040916e-08,-2.9999825806448346e-09,1.6911920868242134e-07,1.6196184097178036e-06,3.0461309393103875e-05,-3.041163461148244e-05,3.0461309393103875e-05,0.0,999.7886352539062,0.0,999.788623806085,-3.64766591220586e-10,2.0563125513032858e-08,2.3439537003246202e-08,3.0467749550040916e-08,-2.9999825806448346e-09,1.6911920868242134e-07,1.6196184097178036e-06,3.0461309393103875e-05,-3.041163461148244e-05,3.0461309393103875e-05,-3.64766591220586e-10
86400.0,0.75,0.8078972400667198,0.6949373644415581,0.5784798135446019,4.1436677721529024e-07,6.644463412308253,48.0185828286235,578.3665367657989,-578.3665367657989,578.3402426410598,-5.108166963919827e-07,999.3170717829237,0.0,999.8041819677183,5.0382665128112315e-08,0.8078972400667198,0.6949373644415581,0.5784798135446019,4.1436677721529024e-07,6.644463412308253,48.0185828286235,578.3665367657989,-578.3665367657989,578.3402426410598,5.0382665128112315e-08
115200.0,1.0,7.49188274786358e-05,0.00011793577614906197,0.0005060987159847195,3.6079146459892456e-07,0.0006161617921562137,0.008149092458166127,0.5060051606131992,-0.5060051606131992,0.20938094239386373,-3.8914696465247426e-07,999.316947230441,0.0,999.8151440251369,4.386846731367976e-08,7.49188274786358e-05,0.00011793577614906197,0.0005060987159847195,3.6079146459892456e-07,0.0006161617921562137,0.008149092458166127,0.5060051606131992,-0.5060051606131992,0.20938094239386373,4.386846731367976e-08
172800.0,1.5,1.4500222443974504,1.1679457539309055,0.9436998321937514,2.3334422545472087e-07,11.925551315408091,80.70238095405077,943.5503315628785,-943.5503315628785,943.5256448141263,-4.0124665696314255e-07,999.153558475581,0.0,999.8415803142346,2.8372215703115478e-08,1.4500222443974504,1.1679457539309055,0.9436998321937514,2.3334422545472087e-07,11.925551315408091,80.70238095405077,943.5503315628785,-943.5503315628785,943.5256448141263,2.8372215703115478e-08
230400.0,2.0,0.00015235312575213574,0.0001754379145863984,0.0007224414222416283,2.550427697197688e-07,0.001253011822023038,0.01212235873891101,0.7223460499849352,-0.7223460499849352,0.35341431962058323,-3.0511286549027874e-07,999.1533658706609,0.0,999.8679861733327,3.101053205439132e-08,0.00015235312575213574,0.0001754379145863984,0.0007224414222416283,2.550427697197688e-07,0.001253011822023038,0.01212235873891101,0.7223460499849352,-0.7223460499849352,0.35341431962058323,3.101053205439132e-08
259200.0,2.25,1.8342849391704739,1.371337201273539,1.0,3.2506545310060285e-07,15.085878275529362,94.75626488747388,999.8789120494475,-999.8789120494475,998.7764489364519,-3.538503077637076e-07,998.7764489364519,0.0,999.8789120494475,3.952455779868923e-08,1.8342849391704739,1.371337201273539,1.0,3.2506545310060285e-07,15.085878275529362,94.75626488747388,999.8789120494475,-999.8789120494475,998.7764489364519,3.952455779868923e-08
345600.0,3.0,0.0003509220295307187,0.0012299276510192975,0.019287296079579113,-0.00039990338131743613,0.0028862607613967394,0.08498871879724884,19.285257568524003,-19.285257568524003,3.06203337629546,-2.689469196138465e-07,998.7762953304677,0.0,999.8943080955102,-4.862170045928887e-05,0.0003509220295307187,0.0012299276510192975,0.019287296079579113,-0.00039990338131743613,0.0028862607613967394,0.08498871879724884,19.285257568524003,-19.285257568524003,3.06203337629546,-4.862170045928887e-05
432000.0,3.75,1.9999965008277976,1.4141671542642649,1.0,2.411374524598767e-07,16.448755108144436,97.71571670351011,999.8789120494475,-999.8789120494475,998.6865617970253,-2.7119912081802685e-05,998.6865617970253,0.0,999.8789120494475,2.931979086614129e-08,1.9999965008277976,1.4141671542642649,1.0,2.411374524598767e-07,16.448755108144436,97.71571670351011,999.8789120494475,-999.8789120494475,998.6865617970253,2.931979086614129e-08
460800.0,4.0,0.00045225612516878517,0.0012249779481841672,0.010668657853027303,2.550546416898923e-07,0.003719531638233375,0.08464317516628103,10.667249442678667,-4.411788651809729,10.667249442678667,-2.5615179860192374e-05,998.7076348785644,0.0,999.8679861733277,3.101197509207649e-08,0.00045225612516878517,0.0012249779481841672,0.010668657853027303,2.550546416898923e-07,0.003719531638233375,0.08464317516628103,10.667249442678667,-4.411788651809729,10.667249442678667,3.101197509207649e-08
518400.0,4.5,2.00000002546431,1.4141594135683222,1.0,1.9935198490344838e-07,16.448784166344524,97.71518183908682,999.8415803142396,-999.8415803142396,998.6290525639905,-2.2852191474901077e-05,998.6290525639905,0.0,999.8415803142396,2.4239115138682223e-08,2.00000002546431,1.4141594135683222,1.0,1.9935198490344838e-07,16.448784166344524,97.71518183908682,999.8415803142396,-999.8415803142396,998.6290525639905,2.4239115138682223e-08
576000.0,5.0,0.00040229529598684424,0.0007370512011219269,0.0030385869030440707,3.607952026898114e-07,0.003308634143025726,0.05092855264507243,3.0380252020999023,-2.2709670429194375,3.0380252020999023,-2.012869612148502e-05,998.6863327409537,0.0,999.8151440251369,4.386892190571907e-08,0.00040229529598684424,0.0007370512011219269,0.0030385869030440707,3.607952026898114e-07,0.003308634143025726,0.05092855264507243,3.0380252020999023,-2.2709670429194375,3.0380252020999023,4.386892190571907e-08
604800.0,5.25,2.0000000515603884,1.4141502385759719,1.0,4.1436285078510264e-07,16.448783964295,97.71454786827591,999.8041819677233,-999.8041819677233,998.5769979244982,-1.911769962789691e-05,998.5769979244982,0.0,999.8041819677233,5.0382187889901084e-08,2.0000000515603884,1.4141502385759719,1.0,4.1436285078510264e-07,16.448783964295,97.71454786827591,999.8041819677233,-999.8041819677233,998.5769979244982,5.0382187889901084e-08
691200.0,6.0,0.00040279225237477853,0.0006407507888553065,0.002016104741020822,-3.000813169593589e-09,0.0033127214509223544,0.044274414359274074,2.0156785844741307,-2.0156785844741307,1.8493580166029346,-1.708343747320037e-05,998.6287780793359,0.0,999.788623806085,-3.6486778383322634e-10,0.00040279225237477853,0.0006407507888553065,0.002016104741020822,-3.000813169593589e-09,0.0033127214509223544,0.044274414359274074,2.0156785844741307,-2.0156785844741307,1.8493580166029346,-3.6486778383322634e-10
777600.0,6.75,2.000000061848016,1.4140880324354506,1.0,4.982959846663116e-07,16.4487840489045,97.71024956620745,999.8041819677233,-999.8041819677233,998.1929745259079,-1.587309741612108e-05,998.1929745259079,0.0,999.8041819677233,6.058757876056182e-08,2.000000061848016,1.4140880324354506,1.0,4.982959846663116e-07,16.4487840489045,97.71024956620745,999.8041819677233,-999.8041819677233,998.1929745259079,6.058757876056182e-08
806400.0,7.0,0.00041719170196916793,0.0005796405304094868,0.0020540120759397667,3.60787671866982e-07,0.0034311480225892106,0.040051835236469345,2.053632379535088,-2.053632379535088,1.7849049151766962,-1.4268726774919519e-05,998.576672174438,0.0,999.8151440251369,4.3868006166170574e-08,0.00041719170196916793,0.0005796405304094868,0.0020540120759397667,3.60787671866982e-07,0.0034311480225892106,0.040051835236469345,2.053632379535088,-2.053632379535088,1.7849049151766962,4.3868006166170574e-08
864000.0,7.5,2.0000000308845434,1.4141108285030581,1.0,2.333577012910664e-07,16.448784210922714,97.71182472217279,999.8415803142447,-999.8415803142447,998.1261800756338,-4.899634871931449e-05,998.1261800756338,0.0,999.8415803142447,2.837385457055709e-08,2.0000000308845434,1.4141108285030581,1.0,2.333577012910664e-07,16.448784210922714,97.71182472217279,999.8415803142447,-999.8415803142447,998.1261800756338,2.837385457055709e-08
921600.0,8.0,0.0004471574995291698,0.0005226530964920264,0.002107347999873243,2.5504115613916423e-07,0.0036775985425324003,0.036114133861063435,2.10706980079965,-2.10706980079965,1.771444677631223,-1.2663530108506373e-05,998.5040617978441,0.0,999.8679861733277,3.101033586705929e-08,0.0004471574995291698,0.0005226530964920264,0.002107347999873243,2.5504115613916423e-07,0.0036775985425324003,0.036114133861063435,2.10706980079965,-2.10706980079965,1.771444677631223,3.101033586705929e-08
1036800.0,9.0,0.0006250373335707957,0.0013740693250421778,0.020489433433882764,-0.0003999033836434704,0.005140802168236389,0.09494899263152097,20.48726786664122,-20.48726786664122,2.551128710498233,-1.179722423178405e-05,998.1927089112824,0.0,999.8943080955102,-4.862170074211383e-05,0.0006250373335707957,0.0013740693250421778,0.020489433433882764,-0.0003999033836434704,0.005140802168236389,0.09494899263152097,20.48726786664122,-20.48726786664122,2.551128710498233,-4.862170074211383e-05
1152000.0,10.0,0.0007184852565682552,0.0014161509059987514,0.01168064547768752,2.5505643182661694e-07,0.005909104365170263,0.09785278941227032,11.679103470980067,-5.548430362161412,11.679103470980067,-3.605647685174006e-05,998.1258720107782,0.0,999.8679861733327,3.101219344881538e-08,0.0007184852565682552,0.0014161509059987514,0.01168064547768752,2.5505643182661694e-07,0.005909104365170263,0.09785278941227032,11.679103470980067,-5.548430362161412,11.679103470980067,3.101219344881538e-08
1267200.0,11.0,0.0006701246571540567,0.0009580171350303399,0.0038621573191658706,3.6079480357451857e-07,0.00551136775115517,0.06619679341408859,3.8614433763095803,-3.1131325864184873,3.8614433763095803,-2.996806619306442e-05,998.1241855433085,0.0,999.8151440251418,4.386887327605159e-08,0.0006701246571540567,0.0009580171350303399,0.0038621573191658706,3.6079480357451857e-07,0.00551136775115517,0.06619679341408859,3.8614433763095803,-3.1131325864184873,3.8614433763095803,4.386887327605159e-08
