iteration,day,eta_finite_fraction,u_finite_fraction,v_finite_fraction,scalar_finite_fraction,minimum_state_finite_fraction,volume_m3,volume_rel_change,mass_kg,mass_rel_change,eta_volume_anomaly_m3,eta_volume_anomaly_delta_m3,tracer_area_integral,tracer_area_rel_change,tracer_mass_integral,tracer_mass_rel_change,kinetic_energy_j,kinetic_energy_rel_change,surface_potential_energy_j,surface_potential_energy_rel_change,potential_energy_anomaly_j,mechanical_energy_j,mechanical_energy_rel_change,mechanical_energy_anomaly_j,mechanical_energy_anomaly_rel_change,zeta_mean_s-1,zeta_rms_s-1,zeta_min_s-1,zeta_max_s-1,pv_mean_s-1_m-1,pv_rms_s-1_m-1,pv_min_s-1_m-1,pv_max_s-1_m-1,potential_enstrophy,potential_enstrophy_rel_change
0,0.0,1.0,1.0,1.0,nan,1.0,2.8744831158873897e+18,0.0,2.8744831158873897e+18,0.0,-1.2060326593903642e+18,0.0,nan,nan,nan,nan,3.94536166038651e+20,0.0,1.418311673956729e+22,0.0,-8.04663263693885e+22,1.4577652905605941e+22,0.0,-8.007179020334985e+22,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
3456,1.0,1.0,1.0,1.0,nan,1.0,2.8744831158873897e+18,0.0,2.8744831158873897e+18,0.0,-1.2060326593903642e+18,0.0,nan,nan,nan,nan,2.8441299383039587e+20,-0.279120602083072,1.425730247855779e+22,0.005230566761362197,-8.0392140630398e+22,1.4541715472388186e+22,-0.0024652413835381725,-8.010772763656761e+22,-0.0004488151585782589,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
6912,2.0,1.0,1.0,1.0,nan,1.0,2.8744831158873897e+18,0.0,2.8744831158873897e+18,0.0,-1.2060326593903642e+18,0.0,nan,nan,nan,nan,2.869909863196697e+20,-0.27258636590604873,1.4211468458749084e+22,0.001998976649659844,-8.043797465020671e+22,1.4498459445068753e+22,-0.005432524772676779,-8.015098366388704e+22,-0.0009890307227560249,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
10368,3.0,1.0,1.0,1.0,nan,1.0,2.87448311588739e+18,1.7811897978114894e-16,2.87448311588739e+18,1.7811897978114894e-16,-1.2060326593903642e+18,0.0,nan,nan,nan,nan,2.844046643117487e+20,-0.2791417142633084,1.4189380926261527e+22,0.0004416650309844756,-8.046006218269426e+22,1.4473785590573276e+22,-0.007125105509455689,-8.01756575183825e+22,-0.001297177380059498,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
13824,4.0,1.0,1.0,1.0,nan,1.0,2.8744831158873897e+18,0.0,2.8744831158873897e+18,0.0,-1.2060326593903642e+18,0.0,nan,nan,nan,nan,2.7840737836551143e+20,-0.29434256646008705,1.417735356606935e+22,-0.00040634041189702955,-8.047208954288644e+22,1.4455760944434862e+22,-0.008361562863402013,-8.019368216452093e+22,-0.0015222834516566328,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
17280,5.0,1.0,1.0,1.0,nan,1.0,2.8744831158873897e+18,0.0,2.8744831158873897e+18,0.0,-1.2060326593903642e+18,0.0,nan,nan,nan,nan,2.924826236525816e+20,-0.2586671417496151,1.4143123552081816e+22,-0.002819774258354847,-8.050631955687398e+22,1.4435606175734397e+22,-0.00974414268135846,-8.021383693322141e+22,-0.0017739921826502886,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
