iter,residual
1,3.92843558160638E+07
2,4.49995815986244E+07
3,5.27833686850301E+07
4,1.58456455118826E+08
5,6.49167559217909E+07
6,1.58196343630596E+08
7,6.00166561049702E+08
8,7.13161394598003E+08
9,3.51981161964922E+08
10,1.47258488148862E+08
11,8.59595570228304E+07
12,7.81161030440218E+07
13,1.04672687015654E+08
14,1.78000391274836E+08
15,3.10789921720461E+08
16,4.38758909798042E+08
17,4.42006483297163E+08
18,3.07102778145587E+08
19,2.03531895514940E+08
20,1.36747080272029E+08
21,1.01992148223189E+08
22,9.85941327212256E+07
23,1.07837973850802E+08
24,1.46355198472603E+08
25,1.99682456254287E+08
26,2.90525123280086E+08
27,3.90296899821478E+08
28,4.45119828275025E+08
29,3.71732052678568E+08
30,2.93710563261481E+08
31,2.42288710832583E+08
32,1.94121222421976E+08
33,1.56278497095005E+08
34,1.51836002975246E+08
35,1.36727915742127E+08
36,1.48466976619859E+08
37,1.79971606128449E+08
38,2.13273625145838E+08
39,2.64887221694872E+08
40,3.15338321310008E+08
41,3.58146352418058E+08
42,3.55948788220401E+08
43,3.30865542027560E+08
44,2.93172593308566E+08
45,2.23600497717952E+08
46,2.08445587315062E+08
47,1.73243448921559E+08
48,1.49904096796647E+08
49,1.43513955523201E+08
50,1.44645146462006E+08
51,1.52977078130203E+08
52,1.60357768153019E+08
53,1.88963184763055E+08
54,2.09784814175434E+08
55,2.32349647129785E+08
56,2.46591299324031E+08
57,2.57554996909196E+08
58,2.39346931249622E+08
59,2.24184737778142E+08
60,2.07200450772270E+08
61,1.79186520534872E+08
62,1.52203239433085E+08
63,1.35783987551903E+08
64,1.29475618938175E+08
65,1.33529307491119E+08
66,1.46733293358312E+08
67,1.61891823823400E+08
68,1.85658635629416E+08
69,2.08939011757282E+08
70,2.36742287928104E+08
71,2.52458251765486E+08
72,2.48373920445929E+08
73,2.31246207235842E+08
74,2.10806696257619E+08
75,2.07699488562525E+08
76,1.93068183653985E+08
77,1.84770425002774E+08
78,1.70352444760730E+08
79,1.59861636658511E+08
80,1.68310413205818E+08
81,1.64968728757070E+08
82,1.72206372503807E+08
83,1.82962790900825E+08
84,1.97783644022991E+08
85,2.28535882255722E+08
86,2.36443702981545E+08
87,2.18723278020497E+08
88,2.12642916736475E+08
89,2.05028454108759E+08
90,2.00243588614422E+08
91,1.81255367587984E+08
92,1.71803481985221E+08
93,1.60771466422157E+08
94,1.49985115910897E+08
95,1.48684182581643E+08
96,1.50704773901000E+08
97,1.48469492002550E+08
98,1.58187292978199E+08
99,1.59751352104324E+08
100,1.63792731984817E+08
101,1.68920523056707E+08
102,1.83336236850576E+08
103,1.91393930973462E+08
104,1.90812324073128E+08
105,1.89068845482837E+08
106,1.85727037983888E+08
