iteration,day,l1,l2,linf,rel_max,rel_min,mass_rel,model_max,model_min,exact_max,exact_min,max_change_from_initial
0.0,0.0,2.0563125514170195e-08,2.3439537004853824e-08,3.0467749550040916e-08,1.1450241602075711e-08,0.0,-3.647664720302295e-10,999.7886352539062,0.0,999.788623806085,0.0,0.0
1440.0,1.0,1.9504252294818851,2.705988796453055,7.471432623053009,6.535703721176594,-4.616095862179992e-10,-3.647668296012986e-10,7534.110852805577,-4.6151201294059197e-07,999.7886238060898,0.0,7383.125440207921
2880.0,2.0,2.00000000093175,3.5683554787111498,12.193632652657417,11.193632652657417,-9.232191723827388e-10,-3.647663528398728e-10,12191.055208997359,-9.230240258279356e-07,999.7886238060898,0.0,12066.498110608687
4320.0,3.0,2.0000000015802653,3.9906335547298757,14.845460791219049,13.845460791219049,-1.3848287584942258e-09,-3.647665912205861e-10,14842.322814220086,-1.3845360386620311e-06,999.788623806085,0.0,14770.509093516961
5760.0,4.0,2.000000002228788,4.294310647029917,17.54364236406462,16.54364236406462,-1.8464383445524482e-09,-3.6476563769773523e-10,17539.934055714297,-1.8460480514428779e-06,999.788623806085,0.0,17487.676678089785
7200.0,5.0,2.0000000028773064,4.5619282867830755,21.421229926347984,20.421229926347984,-2.308047930557401e-09,-3.647683790759329e-10,21416.701988297278,-2.3075600641704774e-06,999.7886238060898,0.0,21395.433019715125
8640.0,6.0,2.0000000035258263,4.825824575728454,25.733009207714215,24.733009207714215,-2.769657516509115e-09,-3.64766352839873e-10,25727.56986216991,-2.769072076844827e-06,999.788623806085,0.0,25706.300893587755
10080.0,7.0,2.0000000041743737,4.967402784510254,30.044788489080197,29.044788489080197,-3.231267102407543e-09,-3.647689750277144e-10,30038.43773604254,-3.2305840894659293e-06,999.7886238060898,0.0,30017.168767460385
11520.0,8.0,2.000000004822865,5.14350933164765,29.095231506921717,28.095231506921717,-3.6928766882527254e-09,-3.6476492255559574e-10,29089.08146762485,-3.692096102033783e-06,999.7886238060898,0.0,29067.812499042695
12960.0,9.0,2.000000005471415,5.364614312740416,27.92663637372323,26.92663637372323,-4.154486274044667e-09,-3.6476170441597087e-10,27920.733347617705,-4.153608114548387e-06,999.788623806085,0.0,27894.627276145537
14400.0,10.0,2.0000000061200667,5.415475897710967,30.879088160973954,29.879088160973954,-4.616095859783315e-09,-3.64758486276346e-10,30872.56105684707,-4.615120127009749e-06,999.7886238060898,0.0,30865.64583992431
15840.0,11.0,2.00000000676861,5.511821723075305,33.97803739722223,32.978037397222224,-5.077705445468764e-09,-3.647527651392361e-10,33970.855249000335,-5.076632139417854e-06,999.7886238060801,0.0,33963.940032077575
17280.0,12.0,1.9986801741092373,5.663916759046914,34.20979097849231,33.21670765745515,-5.539315031100884e-09,-3.647559832788604e-10,34209.47506002221,-5.5381441517727136e-06,999.788623806085,0.0,34202.55984309945
