iteration,day,eta_finite_fraction,u_finite_fraction,v_finite_fraction,scalar_finite_fraction,minimum_state_finite_fraction,volume_m3,volume_rel_change,mass_kg,mass_rel_change,eta_volume_anomaly_m3,eta_volume_anomaly_delta_m3,tracer_area_integral,tracer_area_rel_change,tracer_mass_integral,tracer_mass_rel_change,kinetic_energy_j,kinetic_energy_rel_change,surface_potential_energy_j,surface_potential_energy_rel_change,potential_energy_anomaly_j,mechanical_energy_j,mechanical_energy_rel_change,mechanical_energy_anomaly_j,mechanical_energy_anomaly_rel_change,zeta_mean_s-1,zeta_rms_s-1,zeta_min_s-1,zeta_max_s-1,pv_mean_s-1_m-1,pv_rms_s-1_m-1,pv_min_s-1_m-1,pv_max_s-1_m-1,potential_enstrophy,potential_enstrophy_rel_change
0,0.0,1.0,1.0,1.0,nan,1.0,5.361004755145298e+18,0.0,5.361004755145298e+18,0.0,1.6157090852307194e+17,0.0,nan,nan,nan,nan,1.9165407772480173e+20,0.0,3.299588012526373e+20,0.0,1.6487049287500743e+22,5.21612878977439e+20,0.0,1.6678703365225544e+22,0.0,6.389329934709334e-21,8.49026235656313e-06,-2.9165018002626258e-05,0.00012038460756350503,2.3271131051491298e-12,8.273656304393894e-09,-1.4306870276245866e-08,2.2224362599121277e-08,180.43482117820855,0.0
1440,1.0,1.0,1.0,1.0,nan,1.0,5.361004755145294e+18,-7.640358826521852e-16,5.361004755145294e+18,-7.640358826521852e-16,1.6157090852307203e+17,96.0,nan,nan,nan,nan,1.9166497050639306e+20,5.683563700101328e-05,3.2996097930474114e+20,6.600981988041186e-06,1.6487051465552847e+22,5.216259498111342e+20,2.505849495284506e-05,1.667871643605924e+22,7.836840436508288e-07,4.19837692106983e-16,8.490129963203304e-06,-2.921091231757164e-05,0.00012035209160721624,2.3283144066063938e-12,8.273656684629697e-09,-1.4310389634622672e-08,2.222157372893276e-08,180.4347828818885,-2.122446199253296e-07
2880,2.0,1.0,1.0,1.0,nan,1.0,5.361004755145296e+18,-3.820179413260926e-16,5.361004755145296e+18,-3.820179413260926e-16,1.6157090852307184e+17,-96.0,nan,nan,nan,nan,1.9167755622028768e+20,0.00012250454446195003,3.299668390095063e+20,2.4359880198689974e-05,1.64870573252576e+22,5.21644395229794e+20,6.0420771083756715e-05,1.6678734881477888e+22,1.889610460359067e-06,1.964003858839523e-15,8.490225423643563e-06,-2.9203962162737787e-05,0.00012029387162814322,2.330522933793745e-12,8.273663226466612e-09,-1.4308551690497368e-08,2.2218080848581677e-08,180.43490940021363,4.889411284332349e-07
4320,3.0,1.0,1.0,1.0,nan,1.0,5.361004755145297e+18,-1.910089706630463e-16,5.361004755145297e+18,-1.910089706630463e-16,1.6157090852307197e+17,32.0,nan,nan,nan,nan,1.9168016006292436e+20,0.000136090702750823,3.299677567923949e+20,2.7141387723553238e-05,1.6487058243040502e+22,5.216479168553192e+20,6.717218706124253e-05,1.6678738403103426e+22,2.10075550331075e-06,3.3568743164866124e-15,8.490361490016326e-06,-2.9179276472811058e-05,0.00012022515720552003,2.3309128042128856e-12,8.273665906975167e-09,-1.4308851964596404e-08,2.2213934099342855e-08,180.43499216118943,9.476163179564987e-07
5760,4.0,1.0,1.0,1.0,nan,1.0,5.361004755145296e+18,-3.820179413260926e-16,5.361004755145296e+18,-3.820179413260926e-16,1.6157090852307194e+17,0.0,nan,nan,nan,nan,1.9169582861474945e+20,0.0002178450385369645,3.299655765549073e+20,2.0533782533771934e-05,1.6487056062803018e+22,5.216614051696568e+20,9.303104691921528e-05,1.6678751891417767e+22,2.909470308351676e-06,2.83568880501742e-15,8.491085878026884e-06,-2.9188792240743364e-05,0.00012019207957997585,2.330946798808201e-12,8.273671706350542e-09,-1.4309957415508551e-08,2.220999074693397e-08,180.43529441641542,2.622765405120392e-06
7200,5.0,1.0,1.0,1.0,nan,1.0,5.361004755145297e+18,-1.910089706630463e-16,5.361004755145297e+18,-1.910089706630463e-16,1.6157090852307203e+17,96.0,nan,nan,nan,nan,1.917003159033542e+20,0.000241258516914384,3.299688820525682e+20,3.055169279509588e-05,1.6487059368300681e+22,5.216691979559224e+20,0.00010797083575433942,1.6678759684204036e+22,3.3767000502787147e-06,2.36709523221478e-15,8.49179027975985e-06,-2.921947619235667e-05,0.00012016233973261131,2.332565561545419e-12,8.273681818998969e-09,-1.4310738308835903e-08,2.2206163231318364e-08,180.43565417146408,4.616588140188974e-06
