case,alpha,status,health_verdict,min_state_finite_fraction,first_bad_day,nonfinite_state_records,run_dir,iterations,last_day,fields,max_abs_mass_rel_change,max_abs_tracer_mass_rel_change,max_abs_mechanical_energy_rel_change,max_abs_potential_enstrophy_rel_change,mass_verdict,quantity_verdict,energy_verdict,enstrophy_verdict,output_dir
TC2,0,available,finite state fields,1.0,nan,0,/scratch/p8190783-hmh85/MITgcm/Sandbox/vortexSphere_Williamson_TC2/run_alpha_0,13,12.0,"eta:Eta,u:U,v:V,kinetic:momKE",6.374273077638596e-16,nan,1.4200739739719224e-07,1.1265744470364146e-07,preserved to roundoff,small drift,small drift,small drift,/scratch/p8190783-hmh85/MITgcm/Sandbox/output/TestCase2/Diagnosis/conservation/alpha_0
TC2,0.05,available,finite state fields,1.0,nan,0,/scratch/p8190783-hmh85/MITgcm/Sandbox/vortexSphere_Williamson_TC2/run_alpha_0.05,13,12.0,"eta:Eta,u:U,v:V,kinetic:momKE",6.374273068633958e-16,nan,0.00037306084377869203,0.0032876400952808124,preserved to roundoff,not preserved,noticeable drift,not preserved,/scratch/p8190783-hmh85/MITgcm/Sandbox/output/TestCase2/Diagnosis/conservation/alpha_0.05
TC2,1.52,available,finite state fields,1.0,nan,0,/scratch/p8190783-hmh85/MITgcm/Sandbox/vortexSphere_Williamson_TC2/run_alpha_1.52,13,12.0,"eta:Eta,u:U,v:V,kinetic:momKE",6.374269012029547e-16,nan,0.14785896379801106,0.02204506047848028,preserved to roundoff,not preserved,not preserved,not preserved,/scratch/p8190783-hmh85/MITgcm/Sandbox/output/TestCase2/Diagnosis/conservation/alpha_1.52
TC2,1.57,available,finite state fields,1.0,nan,0,/scratch/p8190783-hmh85/MITgcm/Sandbox/vortexSphere_Williamson_TC2/run_alpha_1.57,13,12.0,"eta:Eta,u:U,v:V,kinetic:momKE",8.49902533591079e-16,nan,0.14634970001105785,0.02186729782856435,preserved to roundoff,not preserved,not preserved,not preserved,/scratch/p8190783-hmh85/MITgcm/Sandbox/output/TestCase2/Diagnosis/conservation/alpha_1.57
