iteration,day,state_finite_fraction,nonfinite_state_values,volume_m3,mass_kg,conserved_scalar_integral,conserved_scalar_rel_change,kinetic_energy_j,potential_energy_j,mechanical_energy_j,ke_area_mean_j_m-2,zeta_mean_s-1,zeta_rms_s-1,zeta_min_s-1,zeta_max_s-1,pv_mean_s-1_m-1,pv_rms_s-1_m-1,pv_min_s-1_m-1,pv_max_s-1_m-1
0,0.0,1.0,0,5.53064509343632e+18,5.53064509343632e+18,nan,nan,7.400900413907374e+20,1.3813466133027902e+21,2.1214366546935276e+21,1450973.5183469756,6.3054229620988305e-21,1.495133690579223e-05,-4.2305903911920495e-05,0.00012619178972425534,2.2573729888530464e-12,8.34810648137903e-09,-1.4597289345402263e-08,2.2425187231772885e-08
1440,1.0,1.0,0,5.530645093436318e+18,5.530645093436318e+18,nan,nan,7.401413936837549e+20,1.3813592390175293e+21,2.121500632701284e+21,1451074.196390332,1.8707455062140758e-15,1.4950851673814285e-05,-4.236845248613227e-05,0.00012579481745006031,2.2628695893786905e-12,8.348109506053074e-09,-1.4597294536883204e-08,2.239145255987761e-08
2880,2.0,1.0,0,5.530645093436316e+18,5.530645093436316e+18,nan,nan,7.401512082160453e+20,1.3813891063927653e+21,2.1215403146088106e+21,1451093.4381388382,1.2620984062359202e-14,1.4948916511806352e-05,-4.230983133789308e-05,0.00012512244503891644,2.2696207398544167e-12,8.348102176502409e-09,-1.4597295138332896e-08,2.233873883740005e-08
4320,3.0,1.0,0,5.53064509343632e+18,5.53064509343632e+18,nan,nan,7.402085476019178e+20,1.381396613762298e+21,2.1216051613642156e+21,1451205.854096095,2.8805674063324416e-14,1.4949730969228032e-05,-4.2501307375992455e-05,0.0001245808828695492,2.2724517744755815e-12,8.348123889774064e-09,-1.4597304730821484e-08,2.229503184927142e-08
5760,4.0,1.0,0,5.530645093436319e+18,5.530645093436319e+18,nan,nan,7.403666633816699e+20,1.3813902819885127e+21,2.1217569453701826e+21,1451515.8458490202,3.9296072030321334e-14,1.4953590667723253e-05,-4.2415539543438776e-05,0.00012444698763749857,2.276890679186964e-12,8.348187690763446e-09,-1.4597312169181557e-08,2.2276566491280726e-08
7200,5.0,1.0,0,5.530645093436317e+18,5.530645093436317e+18,nan,nan,7.402733121552064e+20,1.3813983537776427e+21,2.121671665932849e+21,1451332.8273648785,6.16504148897511e-14,1.4950176324699212e-05,-4.234754967786901e-05,0.00012400103600750654,2.2756222304491416e-12,8.348136435989035e-09,-1.4597314993429485e-08,2.2242842290187478e-08
