iteration,day,normalized_l1,normalized_l2,normalized_linf,mean_error,mean_abs_error,rmse,max_abs_error,min_error,max_error,relative_mass_error
0.0,0.0,2.0563125514170198e-08,2.3439537004853824e-08,3.0467749550040916e-08,-2.999982492855536e-09,1.6911920869177518e-07,1.6196184098288864e-06,3.0461309393103875e-05,-3.041163461148244e-05,3.0461309393103875e-05,-3.6476635283987306e-10
1440.0,1.0,1.9806532972801756,1.4126024655256182,1.0000000114502368,-2.9999893193968856e-09,16.289669491048485,97.60760028925475,999.7886352539062,-999.7886238060898,999.7886352539062,-3.6476730636272444e-10
2880.0,2.0,1.9999999996352331,1.4142135618205278,1.0000000114502368,-2.999987001130977e-09,16.448784358621893,97.71892335927535,999.7886352539062,-999.7886238060898,999.7886352539062,-3.647670679820116e-10
4320.0,3.0,1.9999999996352338,1.4142135618205283,1.0000000114502416,-2.999979378072484e-09,16.448784358621882,97.71892335927532,999.7886352539062,-999.788623806085,999.7886352539062,-3.6476611445916025e-10
5760.0,4.0,1.9999999996352364,1.4142135618205296,1.0000000114502416,-2.9999612239642586e-09,16.448784358621864,97.71892335927522,999.7886352539062,-999.788623806085,999.7886352539062,-3.6476373065203175e-10
7200.0,5.0,1.9999999996352331,1.414213561820528,1.0000000114502368,-2.999983794305334e-09,16.448784358621882,97.71892335927534,999.7886352539062,-999.7886238060898,999.7886352539062,-3.6476659122058593e-10
8640.0,6.0,1.9999999996352331,1.414213561820528,1.0000000114502416,-2.999982910484388e-09,16.448784358621882,97.71892335927534,999.7886352539062,-999.788623806085,999.7886352539062,-3.6476659122058593e-10
10080.0,7.0,1.9999999996352313,1.4142135618205263,1.0000000114502368,-3.0000038462473264e-09,16.448784358621907,97.71892335927545,999.7886352539062,-999.7886238060898,999.7886352539062,-3.647689750277144e-10
11520.0,8.0,1.9999999996352342,1.4142135618205287,1.0000000114502368,-2.999975124818801e-09,16.448784358621875,97.7189233592753,999.7886352539062,-999.7886238060898,999.7886352539062,-3.6476563769773456e-10
12960.0,9.0,1.9999999996352336,1.414213561820528,1.0000000114502416,-2.9999818276661185e-09,16.448784358621882,97.71892335927534,999.7886352539062,-999.788623806085,999.7886352539062,-3.6476635283987306e-10
14400.0,10.0,1.9999999996352327,1.4142135618205278,1.0000000114502368,-2.9999870988115764e-09,16.448784358621886,97.71892335927535,999.7886352539062,-999.7886238060898,999.7886352539062,-3.647670679820116e-10
15840.0,11.0,1.9806532972801774,1.4126024655256193,1.0000000114502465,-2.999976099466503e-09,16.28966949104847,97.60760028925469,999.7886352539062,-999.7886238060801,999.7886352539062,-3.6476575688809097e-10
