case,alpha,status,health_verdict,min_state_finite_fraction,first_bad_day,nonfinite_state_records,run_dir,iterations,last_day,fields,max_abs_mass_rel_change,max_abs_tracer_mass_rel_change,max_abs_mechanical_energy_rel_change,max_abs_potential_enstrophy_rel_change,mass_verdict,quantity_verdict,energy_verdict,enstrophy_verdict,output_dir
TC7,c1_19781221_0000,available,finite state fields,1.0,nan,0,/scratch/p8190783-hmh85/MITgcm/Sandbox/vortexSphere_Williamson_TC7/run_c1_19781221_0000,6,5.0,"eta:Eta,u:U,v:V,kinetic:momKE",0.0,nan,0.011494913602784772,0.2936032894513437,preserved to roundoff,not preserved,not preserved,not preserved,/scratch/p8190783-hmh85/MITgcm/Sandbox/output/TestCase7/Diagnosis/conservation/alpha_c1_19781221_0000
TC7,c2_19790116_0000,available,finite state fields,1.0,nan,0,/scratch/p8190783-hmh85/MITgcm/Sandbox/vortexSphere_Williamson_TC7/run_c2_19790116_0000,6,5.0,"eta:Eta,u:U,v:V,kinetic:momKE",1.7816692600264954e-16,nan,0.009963672480052404,0.18445082552019385,preserved to roundoff,not preserved,not preserved,not preserved,/scratch/p8190783-hmh85/MITgcm/Sandbox/output/TestCase7/Diagnosis/conservation/alpha_c2_19790116_0000
TC7,c3_19790109_0000,available,finite state fields,1.0,nan,0,/scratch/p8190783-hmh85/MITgcm/Sandbox/vortexSphere_Williamson_TC7/run_c3_19790109_0000,6,5.0,"eta:Eta,u:U,v:V,kinetic:momKE",1.7811897978114894e-16,nan,0.00974414268135846,0.14034746590035097,preserved to roundoff,not preserved,not preserved,not preserved,/scratch/p8190783-hmh85/MITgcm/Sandbox/output/TestCase7/Diagnosis/conservation/alpha_c3_19790109_0000
