Williamson TC1 conservation diagnostics

   day          M[m3]          KE[J]          PE[J]          ME[J]
  0.00   2.040258e+18   1.013787e+24   0.000000e+00   1.013787e+24
  1.00   2.040258e+18   1.013787e+24   3.022029e+15   1.013787e+24
  2.00   2.040258e+18   1.013787e+24   1.208812e+16   1.013787e+24
  3.00   2.040258e+18   1.013787e+24   2.719826e+16   1.013787e+24
  4.00   2.040258e+18   1.013787e+24   4.835247e+16   1.013787e+24
  5.00   2.040258e+18   1.013787e+24   7.555073e+16   1.013787e+24
  6.00   2.040258e+18   1.013787e+24   1.087931e+17   1.013787e+24
  7.00   2.040258e+18   1.013787e+24   1.480794e+17   1.013787e+24
  8.00   2.040258e+18   1.013787e+24   1.934099e+17   1.013787e+24
  9.00   2.040258e+18   1.013787e+24   2.447844e+17   1.013787e+24
 10.00   2.040258e+18   1.013787e+24   3.022029e+17   1.013787e+24
 11.00   2.040258e+18   1.013787e+24   3.656655e+17   1.013787e+24
 12.00   2.040258e+18   1.013787e+24   4.351722e+17   1.013787e+24
