iteration,day,mass,kinetic_energy,potential_energy,mechanical_energy
0.0,0.0,2.0402578876391532e+18,1.0137869841421344e+24,0.0,1.0137869841421344e+24
86400.0,1.0,2.0402578876391532e+18,1.0137869841421344e+24,3022029275213342.0,1.0137869871641637e+24
172800.0,2.0,2.0402578876391532e+18,1.0137869841421344e+24,1.2088117100853268e+16,1.0137869962302515e+24
259200.0,3.0,2.0402578876391532e+18,1.0137869841421344e+24,2.7198263476932572e+16,1.0137870113403978e+24
345600.0,4.0,2.0402578876391532e+18,1.0137869841421344e+24,4.835246840343542e+16,1.0137870324946028e+24
432000.0,5.0,2.0402578876391532e+18,1.0137869841421344e+24,7.555073188036982e+16,1.0137870596928662e+24
518400.0,6.0,2.0402578876391532e+18,1.0137869841421344e+24,1.0879305390773074e+17,1.0137870929351883e+24
604800.0,7.0,2.0402578876391532e+18,1.0137869841421344e+24,1.4807943448552845e+17,1.0137871322215688e+24
691200.0,8.0,2.0402578876391532e+18,1.0137869841421344e+24,1.9340987361374902e+17,1.013787177552008e+24
777600.0,9.0,2.0402578876391532e+18,1.0137869841421344e+24,2.4478437129239232e+17,1.0137872289265056e+24
864000.0,10.0,2.0402578876391532e+18,1.0137869841421344e+24,3.022029275215146e+17,1.0137872863450619e+24
950400.0,11.0,2.0402578876391532e+18,1.0137869841421344e+24,3.6566554230103706e+17,1.0137873498076766e+24
1036800.0,12.0,2.0402578876391532e+18,1.0137869841421344e+24,4.3517221563099334e+17,1.01378741931435e+24
