Williamson TC2 steady-state error norms
error = model - reference

               day             l1_eta             l2_eta           linf_eta               l1_u               l2_u             linf_u               l1_v               l2_v             linf_v
    0.00000000e+00     2.08308641e-08     2.38692793e-08     3.20494333e-08     2.15635875e-03     2.17081605e-03     2.17893335e-03     2.34264046e-04     8.41271985e-02     3.85610061e+01
    1.00000000e+00     1.21875116e-04     2.59082057e-04     1.99792250e-02     2.17454861e-03     2.28912364e-03     3.70336086e-02     7.07143421e-03     7.63214046e-02     3.85610061e+01
    2.00000000e+00     1.02987155e-04     2.03542548e-04     2.01760161e-02     2.21812709e-03     2.37020259e-03     3.01705599e-02     1.02723781e-02     7.53894783e-02     3.85610061e+01
    3.00000000e+00     7.23192205e-05     1.76823674e-04     1.99341518e-02     2.29027577e-03     2.48028467e-03     2.69724628e-02     1.15507956e-02     7.45089212e-02     3.85610061e+01
    4.00000000e+00     5.82835390e-05     1.61343115e-04     2.05066862e-02     2.38665474e-03     2.58542356e-03     4.06557508e-02     1.52533622e-02     7.46419147e-02     3.85610061e+01
    5.00000000e+00     8.01927808e-05     1.52423700e-04     2.01719898e-02     2.46471950e-03     2.72325567e-03     4.62882567e-02     1.77234060e-02     7.53332454e-02     3.85610061e+01
    6.00000000e+00     7.97250037e-05     1.44468908e-04     2.07064937e-02     2.55616186e-03     2.85154932e-03     3.79098526e-02     1.96489767e-02     7.62221183e-02     3.85610061e+01
    7.00000000e+00     8.25983885e-05     1.42568776e-04     2.01587242e-02     2.71621845e-03     3.09677854e-03     4.46951367e-02     2.13189183e-02     7.56347116e-02     3.85610061e+01
    8.00000000e+00     8.04045625e-05     1.39431798e-04     2.02374922e-02     2.75601084e-03     3.02996387e-03     3.33244287e-02     2.39750171e-02     7.72724602e-02     3.85610061e+01
    9.00000000e+00     8.78230378e-05     1.35546388e-04     2.02757854e-02     2.76494139e-03     3.02574549e-03     2.80711886e-02     2.62009160e-02     7.86020222e-02     3.85610061e+01
    1.00000000e+01     8.79123236e-05     1.33470695e-04     2.04780519e-02     2.82368885e-03     3.11871779e-03     5.62971488e-02     2.81590514e-02     8.00698306e-02     3.85610061e+01
    1.10000000e+01     8.87997555e-05     1.32555734e-04     1.99471372e-02     2.96546742e-03     3.32284744e-03     4.85919807e-02     3.05733793e-02     8.22261203e-02     3.85610061e+01
    1.20000000e+01     9.42042780e-05     1.33773242e-04     2.02718980e-02     3.00346759e-03     3.35896892e-03     2.65454412e-02     3.24778940e-02     8.36803819e-02     3.85610061e+01
