iteration,day,volume_m3,mass_kg,conserved_scalar_integral,conserved_scalar_rel_change,kinetic_energy_j,potential_energy_j,mechanical_energy_j,ke_area_mean_j_m-2,zeta_mean_s-1,zeta_rms_s-1,zeta_min_s-1,zeta_max_s-1,pv_mean_s-1_m-1,pv_rms_s-1_m-1,pv_min_s-1_m-1,pv_max_s-1_m-1
0,0.0,1.5286336307607409e+18,1.5286336307607409e+18,nan,nan,4.6825654533339185e+20,9.351206212897914e+20,1.4033771666231832e+21,918034.0351488143,-4.162042026822671e-12,8.909236437476789e-06,-0.002777842090561135,0.002777842090561135,4.4255641924171545e-09,3.3688086282933606e-08,-9.051225422755565e-07,1.0025459773937443e-06
115200,1.0,1.5286336307607398e+18,1.5286336307607398e+18,nan,nan,4.682628110896294e+20,9.351082317248177e+20,1.403371042814447e+21,918046.3193924397,-2.7839880490049916e-10,2.563095875848093e-05,-0.11749077884741893,0.11648340532984315,4.425414616139272e-09,3.466573873013007e-08,-3.978453528543204e-05,3.953595031975775e-05
230400,2.0,1.52863363076074e+18,1.52863363076074e+18,nan,nan,4.682599291367706e+20,9.351114163634664e+20,1.403371345500237e+21,918040.6692187508,-3.2670021916999727e-10,3.214837659239772e-05,-0.1791121253769076,0.18676891203959445,4.425370350446223e-09,3.528625366155497e-08,-6.0666382233746626e-05,6.341005040540532e-05
345600,3.0,1.52863363076074e+18,1.52863363076074e+18,nan,nan,4.682727690427516e+20,9.350987555503657e+20,1.4033715245931173e+21,918065.8423227173,-2.667551725493344e-10,2.241347675467853e-05,-0.13625201740500745,0.09897530883906212,4.425323061795517e-09,3.440375744088484e-08,-4.6116744040116685e-05,3.363342119905161e-05
460800,4.0,1.5286336307607406e+18,1.5286336307607406e+18,nan,nan,4.682707059506623e+20,9.351010694116746e+20,1.4033717753623368e+21,918061.7975554322,-1.9298749025507048e-10,2.5727494191260962e-05,-0.2312494960381346,0.10156209909133818,4.425286769979091e-09,3.466708100067992e-08,-7.833943668321701e-05,3.447698814962605e-05
576000,5.0,1.528633630760741e+18,1.528633630760741e+18,nan,nan,4.68281079877769e+20,9.350901023191455e+20,1.4033711821969147e+21,918082.1360178775,-8.898950643642378e-11,2.1645161967695258e-05,-0.13284375176527127,0.09572788818147558,4.425238249167593e-09,3.434388353734512e-08,-4.500032693754834e-05,3.250526666739753e-05
